Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3,3,0,0,3,0,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
1993,1960,1537,284,139,16,101,22,78.41836734693878,14.489795918367347,7.091836734693878,0.8163265306122449,14.308964091965901,0.0,0.0,85.6910359080341
3079,2970,1948,331,691,458,223,10,65.58922558922559,11.144781144781145,23.265993265993266,15.42087542087542,11.066472609150761,12.14618120647878,13.071619351963909,76.78734618437046
1903,1903,1838,9,56,1,53,2,96.58434051497635,0.4729374671571203,2.9427220178665263,0.05254860746190226,0.4729374671571203,0.0,0.0,99.52706253284288
5260,5254,3900,784,570,288,273,9,74.22915873620099,14.921964217738866,10.848877046060144,5.481537875904073,14.921964217738866,0.0,2.2757467693890785,85.07803578226114
1971,1967,1556,238,173,3,166,4,79.10523640061007,12.099644128113878,8.795119471276054,0.1525165226232842,11.783688361921145,1.6861147319395613,0.0,86.5301969061393
2611,2593,2153,101,339,19,317,3,83.03123794832241,3.895102198225993,13.0736598534516,0.732741997686078,3.7785520816758766,1.7682985480902946,0.0,94.45314937023383
2,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
46,26,0,0,26,3,4,19,0.0,0.0,100.0,11.538461538461538,0.0,100.0,11.538461538461538,0.0
7,1,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
4301,4056,2131,98,1827,632,1166,29,52.53944773175542,2.416173570019724,45.044378698224854,15.581854043392505,2.177224943974324,34.172216213159146,12.475521904802303,63.65055884286653
4055,3626,3102,363,161,26,133,2,85.5488141202427,10.011031439602869,4.44015444015444,0.7170435741864313,9.855025199353259,0.0,0.0,90.14497480064674
1410,1410,1232,84,94,3,83,8,87.37588652482269,5.957446808510638,6.666666666666667,0.2127659574468085,5.957446808510638,0.0,0.0,94.04255319148936
