Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
4,3,0,0,3,0,0,3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
78,42,0,0,42,25,0,17,0.0,0.0,100.0,59.523809523809526,0.0,0.0,59.523809523809526,100.0
2251,2212,1910,59,243,32,208,3,86.34719710669077,2.667269439421338,10.985533453887884,1.4466546112115732,2.4864376130198913,2.6672694394213377,0.0,94.84629294755877
4135,3975,3129,314,532,152,378,2,78.71698113207547,7.89937106918239,13.383647798742139,3.8238993710691824,7.8210625335520065,2.263835739227652,1.4746433021576713,89.91510172722035
1913,1904,1675,37,192,21,171,0,87.97268907563026,1.9432773109243697,10.084033613445378,1.1029411764705883,1.9432773109243697,0.0,0.0,98.05672268907563
5214,5209,3864,418,927,205,720,2,74.17930504895374,8.024572854674602,17.796122096371665,3.9354962564791705,8.024572854674602,4.559307204954912,0.7297051499641758,87.41611994037049
2126,2122,1753,188,181,23,142,16,82.61074458058435,8.859566446748351,8.529688972667294,1.0838831291234685,8.543610680555618,1.4206842333308014,0.0,90.03570508611358
4545,4537,3842,185,510,28,477,5,84.6815076041437,4.077584306810667,11.240908089045625,0.6171478950848578,3.961034190260551,0.0,0.0,96.03896580973945
114,109,0,0,109,109,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
6,6,0,0,6,6,0,0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2314,2281,1763,156,362,107,176,79,77.2906619903551,6.839105655414292,15.8702323542306,4.690925032880315,6.600157029368892,4.998069869164889,1.5845928942901124,88.40177310146622
2405,2397,1947,153,297,70,226,1,81.22653316645807,6.382978723404255,12.390488110137673,2.920317062995411,6.226972483154645,0.0,2.140285861747361,93.77302751684536
1724,1724,1551,61,112,20,90,2,89.96519721577727,3.5382830626450117,6.496519721577727,1.160092807424594,3.5382830626450117,0.0,0.30098627821497204,96.46171693735499
6277,6260,5310,381,569,116,452,1,84.82428115015975,6.086261980830671,9.089456869009584,1.8530351437699681,6.004160174590934,0.0,0.0,93.99583982540906
11969,11938,9693,731,1514,429,1072,13,81.19450494220138,6.123303735969174,12.682191321829452,3.5935667616016085,5.980173964976808,0.0,0.0,94.01982603502319
287,287,263,13,11,3,8,0,91.63763066202091,4.529616724738676,3.832752613240418,1.0452961672473868,4.529616724738676,0.0,0.0,95.47038327526133
1237,1155,674,42,439,71,363,5,58.35497835497836,3.6363636363636362,38.00865800865801,6.147186147186147,3.6363636363636362,17.71880293619424,0.0,78.64483342744212
1177,1005,261,32,712,225,487,0,25.970149253731343,3.18407960199005,70.8457711442786,22.388059701492537,3.18407960199005,46.168583195928534,13.779738324161118,50.64733720208142
1260,1170,759,32,379,186,193,0,64.87179487179488,2.735042735042735,32.39316239316239,15.897435897435898,2.735042735042735,12.153025171893095,9.722478779082554,85.11193209306417
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
137,111,0,0,111,0,0,111,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
2,2,0,0,2,2,0,0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
13,7,0,0,7,2,0,5,0.0,0.0,100.0,28.571428571428573,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
463,256,0,0,256,96,3,157,0.0,0.0,100.0,37.5,0.0,0.0,0.0,100.0
601,340,2,50,288,55,77,156,0.5882352941176471,14.705882352941176,84.70588235294117,16.176470588235293,13.948306595365418,61.22103386809269,10.115864527629233,24.830659536541887
325,183,4,50,129,12,89,28,2.185792349726776,27.3224043715847,70.49180327868852,6.557377049180328,27.3224043715847,49.50414895770087,4.088241246711192,23.173446670714426
446,195,7,14,174,35,58,81,3.58974358974359,7.17948717948718,89.23076923076923,17.94871794871795,7.17948717948718,67.10687542545949,12.638983435443613,25.713637395053325
151,103,3,18,82,4,53,25,2.912621359223301,17.475728155339805,79.6116504854369,3.883495145631068,17.475728155339805,57.77257002566678,0.0,24.75170181899341
3798,3773,3330,105,338,95,236,7,88.25868009541479,2.782931354359926,8.958388550225285,2.5178902729923136,2.782931354359926,0.0,0.19411025750044741,97.21706864564007
3933,3904,2675,388,841,250,581,10,68.51946721311475,9.938524590163935,21.542008196721312,6.403688524590164,9.685573494042519,10.327842935338513,3.199641307052221,79.98658357061896
3997,3598,2516,428,654,68,557,29,69.92773763201778,11.89549749861034,18.176764869371873,1.8899388549193996,11.084686687799529,6.46505315766016,0.0,82.4502601545403
1062,352,2,17,333,123,122,88,0.5681818181818182,4.829545454545454,94.60227272727273,34.94318181818182,2.9427530017152654,54.97963121783877,31.169596912521442,42.07761578044596
4,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
665,580,6,20,554,158,188,208,1.0344827586206897,3.4482758620689653,95.51724137931035,27.24137931034483,3.4482758620689653,64.08866995073892,21.527093596059114,32.463054187192114
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
15,7,0,0,7,6,1,0,0.0,0.0,100.0,85.71428571428571,0.0,0.0,85.71428571428571,100.0
28929,28885,23237,1937,3711,1241,2160,310,80.44659858057815,6.705902717673533,12.847498701748313,4.296347585251861,6.48384498266243,4.137900872979499,2.149789480144533,89.37825414435807
20785,20615,17875,971,1769,272,1438,59,86.70870725200098,4.710162503031773,8.581130244967257,1.3194276012612176,4.533223546971614,0.0,0.0,95.46677645302839
16826,16791,14895,676,1220,272,875,73,88.70823655529747,4.025966291465666,7.2657971532368535,1.6199154308855934,3.2634805880726048,0.0,0.0,96.73651941192739
92,89,0,0,89,65,0,24,0.0,0.0,100.0,73.03370786516854,0.0,0.0,73.03370786516854,100.0
375,332,2,10,320,183,121,16,0.6024096385542169,3.0120481927710845,96.3855421686747,55.12048192771084,3.0120481927710845,64.2016341226977,51.67220606564187,32.78631768453121
477,268,6,71,191,45,111,35,2.2388059701492535,26.492537313432837,71.26865671641791,16.791044776119403,26.492537313432837,43.36167997223186,15.628254078444984,30.145782714335297
34853,34808,30086,1742,2980,515,2218,247,86.43415306826017,5.004596644449552,8.561250287290278,1.4795449321994945,4.629250931292697,1.1926212868951769,0.0,94.17812778181212
1836,1823,1675,22,126,35,86,5,91.88151398793198,1.206801974766868,6.911684037301152,1.9199122325836533,1.206801974766868,0.0,0.0,98.79319802523314
20215,20180,17811,602,1767,414,1326,27,88.26065411298315,2.983151635282458,8.75619425173439,2.051536174430129,2.8815256190222955,0.11798286962056892,0.0,97.00049151135714
3743,3728,2613,312,803,302,481,20,70.0912017167382,8.369098712446352,21.53969957081545,8.100858369098713,8.369098712446352,9.877624272376515,3.601317505921486,81.75327701517713
5232,5102,3803,303,996,72,912,12,74.53939631517052,5.938847510780087,19.521756174049393,1.4112112896903175,5.876033440428328,8.152409440381051,0.0,85.97155711919062
4484,4444,3877,125,442,77,336,29,87.24122412241225,2.812781278127813,9.945994599459945,1.7326732673267327,2.812781278127813,0.0,0.0,97.18721872187218
2194,1996,1614,11,371,61,306,4,80.86172344689379,0.5511022044088176,18.587174348697395,3.056112224448898,0.5511022044088176,4.516822589903425,0.0,94.93207520568775
1869,1782,1636,0,146,10,131,5,91.80695847362514,0.0,8.19304152637486,0.5611672278338945,0.0,0.0,0.0,100.0
