,singlets/singlets2/singlets3 | Count,singlets/singlets2/singlets3/RFP+ | Freq. of Parent (%),
Specimen_001_A1_A01.fcs,10064,12.7,
Specimen_001_A2_A02.fcs,10076,14.3,
Specimen_001_A3_A03.fcs,10067,14.3,
Specimen_001_A4_A04.fcs,1450,28.3,
Specimen_001_A5_A05.fcs,505,28.9,
Specimen_001_A6_A06.fcs,549,29.3,
Specimen_001_A7_A07.fcs,10175,17.1,
Specimen_001_A8_A08.fcs,10003,17.4,
Specimen_001_A9_A09.fcs,10049,16.7,
Specimen_001_A10_A10.fcs,739,23.0,
Specimen_001_A11_A11.fcs,392,24.7,
Specimen_001_A12_A12.fcs,952,24.8,
Specimen_001_B1_B01.fcs,10121,18.0,
Specimen_001_B2_B02.fcs,10009,18.3,
Specimen_001_B3_B03.fcs,10234,17.5,
Specimen_001_B4_B04.fcs,1528,20.7,
Specimen_001_B5_B05.fcs,1439,20.4,
Specimen_001_B6_B06.fcs,784,19.9,
Specimen_001_B7_B07.fcs,9876,18.5,
Specimen_001_B8_B08.fcs,9748,18.4,
Specimen_001_B9_B09.fcs,9854,19.0,
Specimen_001_B10_B10.fcs,1045,36.1,
Specimen_001_B11_B11.fcs,884,38.3,
Specimen_001_B12_B12.fcs,1601,35.4,
Specimen_001_C1_C01.fcs,10055,7.31,
Specimen_001_C2_C02.fcs,9843,7.39,
Specimen_001_C3_C03.fcs,9907,7.75,
Specimen_001_C4_C04.fcs,1059,18.5,
Specimen_001_C5_C05.fcs,788,18.7,
Specimen_001_C6_C06.fcs,145,21.4,
Specimen_001_C7_C07.fcs,10162,9.45,
Specimen_001_C8_C08.fcs,9974,9.42,
Specimen_001_C9_C09.fcs,10066,9.34,
Specimen_001_C10_C10.fcs,1488,13.6,
Specimen_001_C11_C11.fcs,534,10.3,
Specimen_001_C12_C12.fcs,1004,11.6,
Specimen_001_D1_D01.fcs,9720,8.06,
Specimen_001_D2_D02.fcs,9513,8.31,
Specimen_001_D3_D03.fcs,9630,8.09,
Specimen_001_D4_D04.fcs,3639,70.6,
Specimen_001_D5_D05.fcs,2654,72.8,
Specimen_001_D6_D06.fcs,2850,67.9,
Specimen_001_D7_D07.fcs,10200,11.8,
Specimen_001_D8_D08.fcs,9943,11.0,
Specimen_001_D9_D09.fcs,10059,11.0,
Specimen_001_D10_D10.fcs,687,14.6,
Specimen_001_D11_D11.fcs,690,16.1,
Specimen_001_D12_D12.fcs,1169,15.7,
Specimen_001_E1_E01.fcs,10079,12.3,
Specimen_001_E2_E02.fcs,9998,11.2,
Specimen_001_E3_E03.fcs,9984,11.7,
Specimen_001_E4_E04.fcs,771,18.7,
Specimen_001_E5_E05.fcs,1030,22.4,
Specimen_001_E6_E06.fcs,790,20.0,
Specimen_001_E7_E07.fcs,10188,14.0,
Specimen_001_E8_E08.fcs,10181,13.5,
Specimen_001_E9_E09.fcs,10244,14.3,
Specimen_001_E10_E10.fcs,783,21.7,
Specimen_001_E11_E11.fcs,1469,20.3,
Specimen_001_E12_E12.fcs,715,19.6,
Specimen_001_F1_F01.fcs,10412,11.7,
Specimen_001_F2_F02.fcs,10246,11.8,
Specimen_001_F3_F03.fcs,10121,10.8,
Specimen_001_F4_F04.fcs,1079,13.2,
Specimen_001_F5_F05.fcs,714,13.2,
Specimen_001_F6_F06.fcs,886,12.2,
Specimen_001_F7_F07.fcs,9976,14.5,
Specimen_001_F8_F08.fcs,9856,14.4,
Specimen_001_F9_F09.fcs,9918,14.1,
Specimen_001_F10_F10.fcs,1294,21.8,
Specimen_001_F11_F11.fcs,1882,25.2,
Specimen_001_F12_F12.fcs,294,31.6,
Specimen_001_G1_G01.fcs,9750,16.4,
Specimen_001_G2_G02.fcs,9572,15.3,
Specimen_001_G3_G03.fcs,9680,16.1,
Specimen_001_G4_G04.fcs,1513,45.3,
Specimen_001_G5_G05.fcs,1496,44.0,
Specimen_001_G6_G06.fcs,1153,47.1,
Specimen_001_G7_G07.fcs,10071,6.32,
Specimen_001_G8_G08.fcs,9871,6.32,
Specimen_001_G9_G09.fcs,10074,7.15,
Specimen_001_G10_G10.fcs,1230,10.8,
Specimen_001_G11_G11.fcs,708,12.1,
Specimen_001_G12_G12.fcs,653,11.6,
Specimen_001_H1_H01.fcs,9812,12.4,
Specimen_001_H2_H02.fcs,9759,12.8,
Specimen_001_H3_H03.fcs,9794,13.0,
Specimen_001_H4_H04.fcs,760,21.2,
Specimen_001_H5_H05.fcs,514,20.6,
Specimen_001_H6_H06.fcs,691,20.7,
Specimen_001_H7_H07.fcs,6257,0,
Specimen_001_H8_H08.fcs,7352,0.027,
Specimen_001_H9_H09.fcs,11064,0.081,
Mean,5619,18.6,
SD,4462,13.0,
