,singlets/singlets2/singlets3 | Count,singlets/singlets2/singlets3/RFP+ | Freq. of Parent (%),
Specimen_001_H7_H07.fcs,10415,0.048,
Specimen_001_H8_H08.fcs,10253,0.088,
Specimen_001_H9_H09.fcs,10301,0.058,
Specimen_001_H10_H10.fcs,10514,0.076,
Specimen_001_H11_H11.fcs,10365,0.048,
Specimen_001_H12_H12.fcs,10514,0.029,
Specimen_002_A1_A01.fcs,9913,12.6,
Specimen_002_A2_A02.fcs,10145,11.8,
Specimen_002_A3_A03.fcs,10621,12.1,
Specimen_002_A4_A04.fcs,6242,75.6,
Specimen_002_A5_A05.fcs,1374,76.5,
Specimen_002_A6_A06.fcs,1462,72.8,
Specimen_002_A7_A07.fcs,10454,10.6,
Specimen_002_A8_A08.fcs,10470,9.58,
Specimen_002_A9_A09.fcs,10487,9.81,
Specimen_002_A10_A10.fcs,1670,16.7,
Specimen_002_A11_A11.fcs,1746,16.4,
Specimen_002_A12_A12.fcs,1564,15.8,
Specimen_002_B1_B01.fcs,10620,18.6,
Specimen_002_B2_B02.fcs,10463,18.0,
Specimen_002_B3_B03.fcs,10487,18.9,
Specimen_002_B4_B04.fcs,1599,27.1,
Specimen_002_B5_B05.fcs,356,27.0,
Specimen_002_B6_B06.fcs,2075,25.5,
Specimen_002_B7_B07.fcs,10521,16.3,
Specimen_002_B8_B08.fcs,10495,16.1,
Specimen_002_B9_B09.fcs,10537,17.6,
Specimen_002_B10_B10.fcs,10204,91.4,
Specimen_002_B11_B11.fcs,10204,91.2,
Specimen_002_B12_B12.fcs,10167,91.4,
Specimen_002_C1_C01.fcs,10415,16.2,
Specimen_002_C2_C02.fcs,9469,15.2,
Specimen_002_C3_C03.fcs,10511,15.5,
Specimen_002_C4_C04.fcs,1960,29.0,
Specimen_002_C5_C05.fcs,1352,30.0,
Specimen_002_C6_C06.fcs,2045,30.6,
Specimen_002_C7_C07.fcs,10632,18.1,
Specimen_002_C8_C08.fcs,10388,17.8,
Specimen_002_C9_C09.fcs,10481,17.7,
Specimen_002_C10_C10.fcs,1615,24.3,
Specimen_002_C11_C11.fcs,957,23.9,
Specimen_002_C12_C12.fcs,882,24.5,
Specimen_002_D1_D01.fcs,10358,21.1,
Specimen_002_D2_D02.fcs,10393,20.8,
Specimen_002_D3_D03.fcs,10401,20.9,
Specimen_002_D4_D04.fcs,1898,28.0,
Specimen_002_D5_D05.fcs,1552,28.5,
Specimen_002_D6_D06.fcs,1256,28.4,
Specimen_002_D7_D07.fcs,10796,14.4,
Specimen_002_D8_D08.fcs,10566,14.4,
Specimen_002_D9_D09.fcs,10536,14.6,
Specimen_002_D10_D10.fcs,3820,73.5,
Specimen_002_D11_D11.fcs,4536,74.9,
Specimen_002_D12_D12.fcs,3749,74.5,
Specimen_002_E1_E01.fcs,10539,22.0,
Specimen_002_E2_E02.fcs,7250,21.7,
Specimen_002_E3_E03.fcs,10500,23.2,
Specimen_002_E4_E04.fcs,6641,72.3,
Specimen_002_E5_E05.fcs,6198,73.7,
Specimen_002_E6_E06.fcs,4383,76.0,
Specimen_002_E7_E07.fcs,10489,23.2,
Specimen_002_E8_E08.fcs,8317,23.3,
Specimen_002_E9_E09.fcs,10505,23.2,
Specimen_002_E10_E10.fcs,8138,94.2,
Specimen_002_E11_E11.fcs,1772,94.3,
Specimen_002_E12_E12.fcs,10228,93.8,
Specimen_002_F1_F01.fcs,10453,20.9,
Specimen_002_F2_F02.fcs,10441,20.2,
Specimen_002_F3_F03.fcs,10543,20.8,
Specimen_002_F4_F04.fcs,2999,38.5,
Specimen_002_F5_F05.fcs,2443,36.1,
Specimen_002_F6_F06.fcs,1693,39.8,
Specimen_002_F7_F07.fcs,10447,22.2,
Specimen_002_F8_F08.fcs,10446,22.3,
Specimen_002_F9_F09.fcs,10470,23.2,
Specimen_002_F10_F10.fcs,4786,82.0,
Specimen_002_F11_F11.fcs,7362,84.2,
Specimen_002_F12_F12.fcs,6174,86.5,
Specimen_002_G1_G01.fcs,10372,23.0,
Specimen_002_G2_G02.fcs,10337,22.1,
Specimen_002_G3_G03.fcs,10369,26.0,
Specimen_002_G4_G04.fcs,1719,28.3,
Specimen_002_G5_G05.fcs,1559,26.8,
Specimen_002_G6_G06.fcs,1560,25.3,
Specimen_002_G7_G07.fcs,10394,21.1,
Specimen_002_G8_G08.fcs,10377,21.2,
Specimen_002_G9_G09.fcs,10463,20.1,
Specimen_002_G10_G10.fcs,1699,26.5,
Specimen_002_G11_G11.fcs,1108,33.3,
Specimen_002_G12_G12.fcs,1451,26.8,
Mean,7127,32.4,
SD,3991,26.5,
