pegRNA_idx,total,unaligned,extracted,recombination
0,116.0,3.0,22.0,91.0
1,643.0,33.0,60.0,550.0
2,1899.0,28.0,1458.0,413.0
3,3619.0,118.0,3009.0,492.0
4,1781.0,27.0,1702.0,52.0
5,4798.0,131.0,4189.0,478.0
6,1811.0,44.0,1693.0,74.0
7,4742.0,93.0,3931.0,718.0
8,244.0,9.0,124.0,111.0
9,280.0,6.0,25.0,249.0
10,513.0,5.0,4.0,504.0
11,2062.0,49.0,1723.0,290.0
12,1862.0,13.0,1805.0,44.0
13,1412.0,58.0,1329.0,25.0
14,5799.0,183.0,5474.0,142.0
15,11039.0,262.0,9736.0,1041.0
16,215.0,8.0,204.0,3.0
17,925.0,19.0,724.0,182.0
18,1970.0,25.0,981.0,964.0
19,1272.0,136.0,916.0,220.0
20,0.0,0.0,0.0,0.0
21,855.0,8.0,147.0,700.0
22,33.0,0.0,0.0,33.0
23,1114.0,82.0,69.0,963.0
24,45.0,0.0,2.0,43.0
25,295.0,4.0,0.0,291.0
26,186.0,2.0,59.0,125.0
27,237.0,5.0,10.0,222.0
28,163.0,1.0,19.0,143.0
29,1328.0,42.0,725.0,561.0
30,1894.0,34.0,251.0,1609.0
31,410.0,23.0,202.0,185.0
32,845.0,61.0,154.0,630.0
33,261.0,1.0,62.0,198.0
34,3076.0,109.0,2634.0,333.0
35,2804.0,91.0,2232.0,481.0
36,3546.0,100.0,2891.0,555.0
37,1362.0,24.0,581.0,757.0
38,980.0,8.0,44.0,928.0
39,444.0,21.0,249.0,174.0
40,943.0,34.0,288.0,621.0
41,135.0,0.0,6.0,129.0
42,22225.0,483.0,20825.0,917.0
43,16440.0,324.0,15609.0,507.0
44,13235.0,285.0,12473.0,477.0
45,191.0,17.0,152.0,22.0
46,325.0,14.0,101.0,210.0
47,1150.0,47.0,210.0,893.0
48,30106.0,549.0,28470.0,1087.0
49,1418.0,38.0,1349.0,31.0
50,18339.0,420.0,17310.0,609.0
51,3235.0,123.0,2524.0,588.0
52,4086.0,135.0,3473.0,478.0
53,3427.0,93.0,3036.0,298.0
54,8627.0,6440.0,1065.0,1122.0
55,2686.0,1446.0,859.0,381.0
56,10868.0,9568.0,615.0,685.0
57,2774.0,1077.0,1262.0,435.0
58,5429.0,1862.0,2681.0,886.0
59,3038.0,1687.0,1024.0,327.0
60,21.0,1.0,1.0,19.0
61,2214.0,113.0,2050.0,51.0
62,3423.0,79.0,3132.0,212.0
63,6621.0,3983.0,917.0,1721.0
64,3503.0,1069.0,1974.0,460.0
65,3814.0,1022.0,2059.0,733.0
66,48.0,2.0,0.0,46.0
67,7296.0,277.0,6844.0,175.0
68,17.0,0.0,0.0,17.0
69,18.0,1.0,0.0,17.0
70,6192.0,3985.0,1216.0,991.0
71,4712.0,1005.0,3124.0,583.0
72,3409.0,723.0,2051.0,635.0
73,18.0,0.0,4.0,14.0
74,480.0,16.0,392.0,72.0
75,2945.0,49.0,2834.0,62.0
76,3177.0,176.0,2694.0,307.0
77,15.0,2.0,0.0,13.0
78,526.0,2.0,17.0,507.0
79,35.0,2.0,10.0,23.0
80,18.0,2.0,1.0,15.0
81,0.0,0.0,0.0,0.0
82,5.0,1.0,2.0,2.0
83,3315.0,87.0,3102.0,126.0
84,4563.0,2317.0,1770.0,476.0
85,4468.0,1576.0,2323.0,569.0
86,6102.0,5393.0,337.0,372.0
87,7850.0,5700.0,988.0,1162.0
88,3238.0,1237.0,1562.0,439.0
89,3708.0,1669.0,1232.0,807.0
90,0.0,0.0,0.0,0.0
91,1398.0,62.0,1288.0,48.0
92,3284.0,143.0,3057.0,84.0
93,6116.0,1581.0,3671.0,864.0
94,5968.0,3696.0,1016.0,1256.0
95,39.0,0.0,0.0,39.0
96,4018.0,1099.0,2044.0,875.0
97,0.0,0.0,0.0,0.0
98,24.0,0.0,16.0,8.0
99,9117.0,468.0,8430.0,219.0
100,9.0,1.0,1.0,7.0
101,22.0,0.0,0.0,22.0
102,5039.0,3111.0,953.0,975.0
103,5104.0,1263.0,2996.0,845.0
104,384.0,8.0,235.0,141.0
105,42.0,1.0,1.0,40.0
106,4469.0,800.0,2778.0,891.0
107,4441.0,160.0,4110.0,171.0
108,718.0,27.0,601.0,90.0
109,2565.0,64.0,2454.0,47.0
110,14.0,0.0,2.0,12.0
111,1.0,1.0,0.0,0.0
112,38.0,9.0,0.0,29.0
113,28.0,0.0,2.0,26.0
114,698.0,39.0,195.0,464.0
115,828.0,67.0,327.0,434.0
116,2165.0,139.0,1458.0,568.0
117,1559.0,36.0,542.0,981.0
118,417.0,33.0,161.0,223.0
119,838.0,24.0,331.0,483.0
120,3399.0,106.0,2759.0,534.0
121,3260.0,93.0,2978.0,189.0
122,4593.0,191.0,3684.0,718.0
123,20175.0,534.0,19037.0,604.0
124,21902.0,679.0,20404.0,819.0
125,13590.0,292.0,13027.0,271.0
126,79.0,1.0,10.0,68.0
127,733.0,70.0,8.0,655.0
128,1725.0,27.0,66.0,1632.0
129,40348.0,1441.0,37649.0,1258.0
130,2662.0,64.0,2538.0,60.0
131,102.0,0.0,53.0,49.0
132,25976.0,661.0,24416.0,899.0
133,2926.0,74.0,2435.0,417.0
134,3190.0,97.0,2858.0,235.0
135,5733.0,150.0,4680.0,903.0
136,1562.0,136.0,686.0,740.0
137,639.0,7.0,201.0,431.0
138,1404.0,39.0,377.0,988.0
139,507.0,38.0,78.0,391.0
140,123.0,6.0,3.0,114.0
141,135.0,0.0,0.0,135.0
142,633.0,6.0,35.0,592.0
143,216.0,75.0,2.0,139.0
144,874.0,13.0,45.0,816.0
145,1166.0,92.0,152.0,922.0
146,295.0,6.0,25.0,264.0
