pegRNA_idx,total,unaligned,extracted,recombination
0,0.0,0.0,0.0,0.0
1,10.0,1.0,0.0,9.0
2,349.0,9.0,316.0,24.0
3,1484.0,18.0,765.0,701.0
4,225.0,4.0,213.0,8.0
5,508.0,16.0,456.0,36.0
6,388.0,3.0,366.0,19.0
7,513.0,10.0,489.0,14.0
8,2.0,1.0,0.0,1.0
9,14.0,8.0,5.0,1.0
10,29.0,0.0,27.0,2.0
11,1029.0,15.0,972.0,42.0
12,1553.0,25.0,1434.0,94.0
13,67.0,0.0,52.0,15.0
14,3929.0,65.0,3817.0,47.0
15,3613.0,81.0,3463.0,69.0
16,25.0,1.0,17.0,7.0
17,224.0,4.0,207.0,13.0
18,714.0,30.0,663.0,21.0
19,76.0,2.0,72.0,2.0
20,0.0,0.0,0.0,0.0
21,24.0,1.0,19.0,4.0
22,0.0,0.0,0.0,0.0
23,87.0,0.0,75.0,12.0
24,3.0,0.0,3.0,0.0
25,21.0,0.0,15.0,6.0
26,13.0,0.0,4.0,9.0
27,4.0,1.0,2.0,1.0
28,12.0,0.0,11.0,1.0
29,313.0,4.0,11.0,298.0
30,6725.0,125.0,5593.0,1007.0
31,529.0,27.0,417.0,85.0
32,982.0,19.0,270.0,693.0
33,175.0,16.0,120.0,39.0
34,290.0,14.0,255.0,21.0
35,375.0,14.0,323.0,38.0
36,827.0,17.0,737.0,73.0
37,5755.0,100.0,3241.0,2414.0
38,1207.0,17.0,158.0,1032.0
39,1962.0,68.0,692.0,1202.0
40,2.0,0.0,1.0,1.0
41,5.0,2.0,2.0,1.0
42,9318.0,251.0,8733.0,334.0
43,5502.0,111.0,4914.0,477.0
44,1306.0,27.0,1233.0,46.0
45,27.0,1.0,18.0,8.0
46,192.0,6.0,172.0,14.0
47,1990.0,174.0,1449.0,367.0
48,9959.0,494.0,9186.0,279.0
49,123.0,7.0,114.0,2.0
50,5225.0,86.0,5008.0,131.0
51,1119.0,59.0,920.0,140.0
52,240.0,17.0,196.0,27.0
53,186.0,9.0,154.0,23.0
54,9937.0,9525.0,134.0,278.0
55,1201.0,974.0,183.0,44.0
56,11227.0,10860.0,105.0,262.0
57,356.0,211.0,112.0,33.0
58,1630.0,1212.0,358.0,60.0
59,650.0,571.0,56.0,23.0
60,0.0,0.0,0.0,0.0
61,198.0,3.0,190.0,5.0
