peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_1,12,9,0,0,9,0,0,9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_2,522,521,426,11,84,0,84,0,81.76583493282149,2.111324376199616,16.122840690978887,0.0,1.9304925497981695,7.80457667651234,0.0,90.26493077368949
peg_3,884,882,705,94,83,24,59,0,79.93197278911565,10.657596371882086,9.410430839002268,2.7210884353741496,10.579287836251702,0.0,0.3718323664626384,89.4207121637483
peg_4,419,419,374,6,39,1,38,0,89.26014319809069,1.431980906921241,9.307875894988069,0.2386634844868735,1.431980906921241,0.0,0.0,98.56801909307876
peg_5,1153,1153,848,84,221,73,147,1,73.54726799653079,7.285342584562012,19.1673894189072,6.331309627059844,7.285342584562012,5.930574527490446,3.1255185205448495,86.78408288794753
peg_6,562,561,447,60,54,3,40,11,79.67914438502673,10.6951871657754,9.62566844919786,0.5347593582887701,10.379231399582666,2.5166637098613673,0.0,87.10410489055596
peg_7,1088,1086,888,53,145,0,142,3,81.76795580110497,4.880294659300184,13.351749539594843,0.0,4.763744542750068,2.0463882342335378,0.0,93.18986722301639
peg_8,41,40,0,0,40,40,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
peg_9,6,6,0,0,6,6,0,0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_11,639,628,438,25,165,60,30,75,69.7452229299363,3.980891719745223,26.273885350318476,9.554140127388536,3.741943093699823,15.401722865252765,6.447807988798333,80.8563340410474
peg_12,562,560,442,23,95,10,85,0,78.92857142857143,4.107142857142857,16.964285714285715,1.7857142857142858,3.9511366168932467,1.9876866503231572,1.0056830844662359,94.0611767327836
peg_13,300,300,243,14,43,14,27,2,81.0,4.666666666666667,14.333333333333334,4.666666666666667,4.666666666666667,3.8522336769759455,3.807560137457045,91.48109965635739
peg_14,1362,1362,1134,113,115,8,107,0,83.25991189427313,8.29662261380323,8.443465491923641,0.5873715124816447,8.214520807563492,0.0,0.0,91.78547919243651
peg_15,2669,2663,2099,258,306,122,180,4,78.8208787082238,9.688321441982726,11.490799849793468,4.581299286518964,9.54519167099036,0.0,0.5259557750685824,90.45480832900964
peg_16,67,67,60,5,2,0,2,0,89.55223880597015,7.462686567164179,2.985074626865672,0.0,7.462686567164179,0.0,0.0,92.53731343283582
peg_17,291,249,178,7,64,1,63,0,71.4859437751004,2.8112449799196786,25.70281124497992,0.4016064257028112,2.8112449799196786,5.41295617251615,0.0,91.77579884756418
peg_18,348,337,63,8,266,148,118,0,18.694362017804156,2.373887240356083,78.93175074183976,43.916913946587535,2.373887240356083,54.2545627934897,35.30859256925611,43.37154996615422
peg_19,315,252,171,9,72,2,70,0,67.85714285714286,3.571428571428572,28.571428571428573,0.7936507936507936,3.571428571428572,8.331291350159276,0.0,88.09728007841215
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_21,14,12,0,0,12,0,0,12,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_22,2,2,0,0,2,2,0,0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_24,9,3,0,0,3,2,0,1,0.0,0.0,100.0,66.66666666666667,0.0,0.0,0.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_29,21,18,0,0,18,0,0,18,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_30,163,65,1,7,57,4,15,38,1.5384615384615383,10.76923076923077,87.6923076923077,6.153846153846154,10.011655011655012,64.20745920745921,0.09324009324009364,25.780885780885782
peg_31,51,34,0,7,27,2,21,4,0.0,20.58823529411765,79.41176470588235,5.882352941176471,20.58823529411765,58.424110384894696,3.413217138707335,20.98765432098766
peg_32,126,83,0,2,81,1,15,65,0.0,2.409638554216868,97.59036144578312,1.2048192771084338,2.409638554216868,75.46646764047338,0.0,22.12389380530975
peg_33,41,18,1,6,11,2,7,2,5.555555555555555,33.333333333333336,61.11111111111112,11.11111111111111,33.333333333333336,39.272030651341,5.363984674329502,27.39463601532566
peg_34,796,792,647,34,111,24,82,5,81.6919191919192,4.292929292929293,14.015151515151516,3.0303030303030303,4.292929292929293,4.177816116235947,0.7065230148111641,91.52925459083477
peg_35,877,870,630,88,152,38,108,6,72.41379310344827,10.114942528735632,17.471264367816094,4.367816091954023,9.861991432614216,6.257099106433294,1.1637688744160806,83.8809094609525
peg_36,1053,884,584,62,238,25,194,19,66.0633484162896,7.013574660633484,26.923076923076923,2.828054298642534,6.202763849822674,15.21136521136521,0.0,78.58587093881212
peg_37,228,59,2,6,51,15,17,19,3.389830508474576,10.169491525423728,86.44067796610169,25.42372881355932,8.28269907259354,46.81803645666773,21.65014390789894,44.899264470738736
peg_38,4,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
peg_39,138,109,1,4,104,38,36,30,0.9174311926605504,3.669724770642202,95.41284403669724,34.86238532110092,3.669724770642202,63.984272608125806,29.148099606815208,32.34600262123199
peg_40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_42,6402,6391,5313,404,674,149,465,60,83.13253012048193,6.321389453919575,10.5460804255985,2.331403536222813,6.099331718908472,1.8364825968296863,0.18484543111548524,92.06418568426184
peg_43,4284,4174,3516,270,388,76,298,14,84.23574508864398,6.468615237182559,9.295639674173454,1.8207954000958315,6.2916762811224,0.0,0.0,93.7083237188776
peg_44,3497,3493,3116,78,299,64,227,8,89.20698539937017,2.233037503578586,8.559977097051245,1.8322359003721729,1.4705518001855244,0.0,0.0,98.52944819981448
peg_45,19,17,0,0,17,0,0,17,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_46,56,49,0,2,47,31,16,0,0.0,4.081632653061225,95.91836734693878,63.265306122448976,4.081632653061225,63.73445930096177,59.81703026038001,32.183908045977006
peg_47,102,55,2,11,42,5,29,8,3.636363636363636,20.0,76.36363636363636,9.090909090909092,20.0,48.45665961945031,7.928118393234673,31.543340380549694
peg_48,6941,6934,6232,211,491,99,340,52,89.87597346409,3.04297663686184,7.0810498990481685,1.4277473319873089,2.667630923704985,0.0,0.0,97.33236907629501
peg_49,431,428,400,8,20,3,17,0,93.45794392523364,1.8691588785046729,4.672897196261682,0.7009345794392523,1.8691588785046729,0.0,0.0,98.13084112149532
peg_50,4400,4398,3919,113,366,61,294,11,89.1086857662574,2.569349704411096,8.321964529331515,1.3869940882219192,2.4677236881509335,0.0,0.0,97.53227631184906
