peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_1,33,7,0,0,7,0,0,7,0.0,0.0,100.0,0.0
peg_2,575,553,506,1,46,8,38,0,91.500904159132,0.18083182640144665,8.318264014466546,1.4466546112115732
peg_3,1314,1277,1134,1,142,30,109,3,88.80187940485513,0.07830853563038372,11.119812059514487,2.349256068911511
peg_4,532,521,458,0,63,12,50,1,87.90786948176583,0.0,12.092130518234166,2.3032629558541267
peg_5,993,967,839,0,128,31,97,0,86.76318510858324,0.0,13.236814891416753,3.2057911065149947
peg_6,640,633,586,2,45,7,38,0,92.57503949447077,0.315955766192733,7.109004739336493,1.1058451816745656
peg_7,879,858,760,1,97,16,81,0,88.57808857808858,0.11655011655011654,11.305361305361306,1.8648018648018647
peg_8,37,7,0,0,7,7,0,0,0.0,0.0,100.0,100.0
peg_9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_11,858,837,744,2,91,26,60,5,88.88888888888889,0.23894862604540024,10.872162485065711,3.106332138590203
peg_12,646,641,544,1,96,5,89,2,84.86739469578784,0.15600624024961,14.976599063962558,0.7800312012480499
peg_13,587,582,521,0,61,5,50,6,89.51890034364261,0.0,10.481099656357388,0.8591065292096219
peg_14,1228,1218,1080,1,137,40,96,1,88.66995073891626,0.08210180623973727,11.247947454844006,3.284072249589491
peg_15,2120,2096,1817,3,276,85,190,1,86.68893129770993,0.1431297709923664,13.16793893129771,4.055343511450381
peg_16,349,347,317,0,30,8,22,0,91.35446685878962,0.0,8.645533141210375,2.3054755043227666
peg_17,503,483,385,0,98,52,46,0,79.71014492753623,0.0,20.28985507246377,10.766045548654244
peg_18,726,697,525,0,172,60,112,0,75.32281205164993,0.0,24.67718794835007,8.60832137733142
peg_19,598,583,465,0,118,36,81,1,79.7598627787307,0.0,20.240137221269297,6.174957118353345
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_21,19,2,0,0,2,0,1,1,0.0,0.0,100.0,0.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_24,4,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_29,85,28,0,0,28,12,2,14,0.0,0.0,100.0,42.857142857142854
peg_30,190,132,100,1,31,8,21,2,75.75757575757575,0.7575757575757576,23.484848484848484,6.0606060606060606
peg_31,105,81,64,0,17,2,15,0,79.01234567901234,0.0,20.987654320987655,2.4691358024691357
peg_32,176,113,88,0,25,6,19,0,77.87610619469027,0.0,22.123893805309734,5.3097345132743365
peg_33,107,87,68,0,19,5,13,1,78.16091954022988,0.0,21.839080459770116,5.747126436781609
peg_34,1305,1291,1164,0,127,30,94,3,90.16266460108443,0.0,9.837335398915569,2.3237800154918666
peg_35,1222,1186,1050,3,133,38,93,2,88.53288364249579,0.25295109612141653,11.2141652613828,3.204047217537943
peg_36,1145,1110,971,9,130,33,93,4,87.47747747747748,0.8108108108108109,11.711711711711711,2.972972972972973
peg_37,161,106,62,2,42,4,36,2,58.490566037735846,1.8867924528301887,39.62264150943396,3.7735849056603774
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_39,136,105,72,0,33,6,21,6,68.57142857142857,0.0,31.428571428571427,5.714285714285714
peg_40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_41,14,5,0,0,5,0,5,0,0.0,0.0,100.0,0.0
peg_42,4086,4053,3691,9,353,87,252,14,91.06834443622009,0.22205773501110287,8.709597828768814,2.146558105107328
peg_43,3425,3391,3065,6,320,68,244,8,90.38631672073134,0.17693895606015925,9.436744323208494,2.005308168681805
peg_44,2651,2623,2318,20,285,80,200,5,88.37209302325581,0.7624857033930614,10.865421273351124,3.0499428135722457
peg_45,16,5,0,0,5,0,5,0,0.0,0.0,100.0,0.0
peg_46,110,87,59,0,28,3,25,0,67.816091954023,0.0,32.18390804597701,3.4482758620689653
peg_47,230,172,124,0,48,2,44,2,72.09302325581395,0.0,27.906976744186046,1.1627906976744187
peg_48,5099,5062,4670,19,373,77,273,23,92.25602528644805,0.375345713156855,7.368629000395101,1.5211378901619914
peg_49,1028,1017,929,0,88,24,57,7,91.34709931170109,0.0,8.652900688298919,2.359882005899705
peg_50,2970,2952,2694,3,255,71,178,6,91.26016260162602,0.1016260162601626,8.638211382113822,2.4051490514905147
peg_51,1116,1089,962,0,127,49,75,3,88.33792470156106,0.0,11.662075298438936,4.499540863177227
peg_52,1619,1592,1410,1,181,38,143,0,88.5678391959799,0.06281407035175879,11.369346733668342,2.386934673366834
peg_53,1633,1604,1431,0,173,46,123,4,89.214463840399,0.0,10.785536159600998,2.8678304239401498
peg_54,839,796,684,0,112,39,71,2,85.92964824120602,0.0,14.07035175879397,4.899497487437186
peg_55,343,325,294,1,30,5,25,0,90.46153846153847,0.3076923076923077,9.23076923076923,1.5384615384615385
peg_56,691,649,569,0,80,31,48,1,87.67334360554699,0.0,12.326656394453005,4.776579352850539
peg_57,366,351,304,0,47,10,36,1,86.6096866096866,0.0,13.39031339031339,2.849002849002849
peg_58,994,959,851,0,108,21,86,1,88.73826903023983,0.0,11.261730969760167,2.18978102189781
peg_59,529,504,462,0,42,13,29,0,91.66666666666667,0.0,8.333333333333334,2.5793650793650795
peg_60,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_61,1869,1847,1698,0,149,31,107,11,91.93286410395235,0.0,8.067135896047645,1.6783974011911207
peg_62,3066,3032,2826,2,204,57,120,27,93.20580474934037,0.06596306068601583,6.728232189973615,1.8799472295514512
peg_63,745,711,597,0,114,26,85,3,83.96624472573839,0.0,16.033755274261605,3.6568213783403656
peg_64,663,647,555,0,92,37,55,0,85.7805255023184,0.0,14.219474497681608,5.7187017001545595
peg_65,779,740,624,0,116,29,75,12,84.32432432432432,0.0,15.675675675675675,3.918918918918919
peg_66,5,1,0,0,1,0,1,0,0.0,0.0,100.0,0.0
peg_67,3596,3577,3293,16,268,63,188,17,92.06038579815488,0.44730220855465475,7.492311993290467,1.761252446183953
peg_68,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_69,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_70,1270,1197,998,0,199,40,153,6,83.375104427736,0.0,16.624895572263995,3.341687552213868
peg_71,1214,1179,1050,0,129,31,98,0,89.05852417302799,0.0,10.94147582697201,2.6293469041560646
peg_72,956,922,826,1,95,18,70,7,89.587852494577,0.10845986984815618,10.303687635574837,1.9522776572668112
peg_73,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_74,1778,1770,1670,0,100,13,85,2,94.35028248587571,0.0,5.649717514124294,0.7344632768361582
peg_75,3050,3034,2779,0,255,47,202,6,91.59525379037574,0.0,8.404746209624259,1.5491100856954516
peg_76,3675,3657,3378,0,279,70,179,30,92.37079573420837,0.0,7.629204265791633,1.914137270987148
peg_77,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_78,9,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_79,21,5,1,0,4,2,2,0,20.0,0.0,80.0,40.0
peg_80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_81,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_82,10,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_83,3718,3698,3397,1,300,90,194,16,91.86046511627907,0.02704164413196322,8.112493239588966,2.43374797187669
peg_84,558,529,467,5,57,13,41,3,88.27977315689981,0.945179584120983,10.775047258979207,2.4574669187145557
peg_85,645,605,543,1,61,23,38,0,89.75206611570248,0.1652892561983471,10.082644628099173,3.8016528925619837
peg_86,425,401,355,0,46,19,27,0,88.5286783042394,0.0,11.471321695760599,4.738154613466334
peg_87,892,835,733,0,102,35,64,3,87.78443113772455,0.0,12.215568862275449,4.191616766467066
peg_88,507,486,437,0,49,15,34,0,89.91769547325103,0.0,10.08230452674897,3.0864197530864197
peg_89,534,511,437,0,74,22,51,1,85.51859099804305,0.0,14.481409001956948,4.305283757338552
peg_90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_91,1439,1412,1304,6,102,29,73,0,92.35127478753542,0.42492917847025496,7.223796033994335,2.0538243626062322
peg_92,2259,2235,2043,0,192,51,137,4,91.40939597315436,0.0,8.590604026845638,2.2818791946308723
peg_93,1186,1146,1023,0,123,38,72,13,89.26701570680628,0.0,10.732984293193716,3.3158813263525304
peg_94,629,583,444,0,139,79,59,1,76.15780445969125,0.0,23.842195540308747,13.550600343053173
peg_95,11,4,2,0,2,0,2,0,50.0,0.0,50.0,0.0
peg_96,814,778,689,0,89,26,62,1,88.56041131105398,0.0,11.439588688946015,3.341902313624679
peg_97,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_98,4,1,0,0,1,0,0,1,0.0,0.0,100.0,0.0
peg_99,4051,4012,3734,1,277,93,169,15,93.07078763708873,0.024925224327018942,6.904287138584247,2.318045862412762
peg_100,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_101,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_102,1079,1005,869,3,133,30,100,3,86.46766169154229,0.29850746268656714,13.233830845771145,2.985074626865672
peg_103,1044,998,887,0,111,25,85,1,88.87775551102204,0.0,11.122244488977955,2.50501002004008
peg_104,9,2,0,0,2,2,0,0,0.0,0.0,100.0,100.0
peg_105,9,3,0,0,3,0,3,0,0.0,0.0,100.0,0.0
peg_106,1388,1345,1172,0,173,45,125,3,87.13754646840148,0.0,12.862453531598513,3.345724907063197
peg_107,3923,3904,3654,0,250,84,165,1,93.59631147540983,0.0,6.403688524590164,2.151639344262295
peg_108,1862,1848,1723,0,125,18,105,2,93.23593073593074,0.0,6.764069264069264,0.974025974025974
peg_109,2739,2716,2526,4,186,36,148,2,93.00441826215022,0.14727540500736377,6.848306332842415,1.3254786450662739
peg_110,6,3,1,0,2,0,2,0,33.333333333333336,0.0,66.66666666666667,0.0
peg_111,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_112,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
