peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_2,745,738,589,89,60,2,58,0,79.81029810298104,12.059620596205962,8.130081300813009,0.27100271002710025
peg_3,1089,1072,943,92,37,7,27,3,87.96641791044776,8.582089552238806,3.451492537313433,0.6529850746268657
peg_4,669,668,633,2,33,0,33,0,94.76047904191617,0.2994011976047904,4.940119760479042,0.0
peg_5,2196,2176,1315,281,580,499,71,10,60.431985294117645,12.913602941176471,26.654411764705884,22.93198529411765
peg_6,655,654,558,26,70,5,64,1,85.3211009174312,3.9755351681957185,10.703363914373089,0.764525993883792
peg_7,913,913,826,14,73,5,68,0,90.4709748083242,1.5334063526834611,7.995618838992333,0.547645125958379
peg_8,1,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_9,20,18,0,0,18,0,18,0,0.0,0.0,100.0,0.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_11,1942,1901,984,52,865,820,41,4,51.762230405049976,2.7354024197790636,45.50236717517096,43.135192004208314
peg_12,1448,1443,1289,103,51,11,40,0,89.32778932778933,7.1379071379071375,3.5343035343035343,0.7623007623007623
peg_13,674,673,622,7,44,2,42,0,92.42199108469539,1.0401188707280833,6.537890044576523,0.2971768202080238
peg_14,1134,1134,1021,17,96,9,85,2,90.0352733686067,1.4991181657848325,8.465608465608465,0.7936507936507936
peg_15,3041,3034,2529,145,360,49,310,1,83.35530652603823,4.7791694133157545,11.865524060646012,1.6150296638101516
peg_16,93,93,88,2,3,0,3,0,94.6236559139785,2.150537634408602,3.225806451612903,0.0
peg_17,274,266,227,2,37,2,35,0,85.33834586466165,0.7518796992481203,13.909774436090226,0.7518796992481203
peg_18,1790,1753,101,13,1639,9,1630,0,5.76155162578437,0.7415858528237308,93.4968625213919,0.513405590416429
peg_19,268,261,234,3,24,6,18,0,89.65517241379311,1.1494252873563218,9.195402298850574,2.2988505747126435
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_21,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28,5,5,0,0,5,5,0,0,0.0,0.0,100.0,100.0
peg_29,18,17,0,0,17,16,0,1,0.0,0.0,100.0,94.11764705882354
peg_30,1919,835,0,19,816,39,48,729,0.0,2.2754491017964074,97.72455089820359,4.6706586826347305
peg_31,524,247,3,25,219,33,23,163,1.214574898785425,10.121457489878543,88.66396761133603,13.360323886639677
peg_32,307,271,0,4,267,12,11,244,0.0,1.4760147601476015,98.5239852398524,4.428044280442805
peg_33,114,29,0,10,19,2,8,9,0.0,34.48275862068966,65.51724137931035,6.896551724137931
peg_34,943,927,510,10,407,9,398,0,55.016181229773466,1.0787486515641855,43.90507011866235,0.970873786407767
peg_35,1626,1610,446,27,1137,932,199,6,27.70186335403727,1.6770186335403727,70.62111801242236,57.88819875776397
peg_36,3572,1215,694,236,285,28,245,12,57.11934156378601,19.4238683127572,23.45679012345679,2.3045267489711936
peg_37,1048,387,1,14,372,27,182,163,0.25839793281653745,3.6175710594315245,96.12403100775194,6.976744186046512
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_39,1477,1012,1,10,1001,386,229,386,0.09881422924901186,0.9881422924901185,98.91304347826087,38.14229249011858
peg_40,34,6,0,0,6,0,0,6,0.0,0.0,100.0,0.0
peg_41,1,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_42,11184,11137,8633,1176,1328,144,1069,115,77.5163868187124,10.559396605908233,11.924216575379367,1.2929873394989675
peg_43,8265,8195,7358,383,454,82,362,10,89.78645515558267,4.673581452104942,5.539963392312385,1.0006101281269066
peg_44,4813,4782,3476,100,1206,38,1152,16,72.6892513592639,2.0911752404851525,25.21957340025094,0.794646591384358
peg_45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_46,122,82,2,3,77,10,25,42,2.4390243902439024,3.658536585365854,93.90243902439025,12.195121951219512
peg_47,2646,960,4,37,919,236,261,422,0.4166666666666667,3.8541666666666665,95.72916666666667,24.583333333333332
peg_48,7303,7280,6483,291,506,52,425,29,89.0521978021978,3.9972527472527473,6.950549450549451,0.7142857142857143
peg_49,467,465,418,4,43,0,41,2,89.89247311827957,0.8602150537634409,9.24731182795699,0.0
peg_50,4705,4688,3828,70,790,94,343,353,81.65529010238907,1.493174061433447,16.851535836177476,2.0051194539249146
peg_51,903,889,652,25,212,47,122,43,73.3408323959505,2.81214848143982,23.847019122609673,5.286839145106861
peg_52,1398,1373,666,36,671,12,649,10,48.50691915513474,2.6219956300072833,48.87108521485798,0.8739985433357611
peg_53,855,834,541,6,287,8,251,28,64.86810551558753,0.7194244604316546,34.412470023980816,0.9592326139088729
peg_54,371,333,309,2,22,3,19,0,92.7927927927928,0.6006006006006006,6.606606606606607,0.9009009009009009
peg_55,174,168,146,0,22,2,20,0,86.9047619047619,0.0,13.095238095238095,1.1904761904761905
peg_56,212,151,144,0,7,5,2,0,95.36423841059603,0.0,4.635761589403973,3.3112582781456954
peg_57,266,257,240,0,17,12,5,0,93.3852140077821,0.0,6.614785992217898,4.669260700389105
peg_58,640,613,430,1,182,160,20,2,70.1468189233279,0.1631321370309951,29.69004893964111,26.10114192495922
peg_59,200,195,174,0,21,12,9,0,89.23076923076923,0.0,10.76923076923077,6.153846153846154
