peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_2,503,486,464,3,19,1,17,1,95.47325102880659,0.6172839506172839,3.909465020576132,0.205761316872428
peg_3,906,889,801,7,81,40,37,4,90.10123734533184,0.7874015748031497,9.111361079865016,4.499437570303712
peg_4,1178,1172,1068,0,104,6,97,1,91.12627986348123,0.0,8.873720136518772,0.5119453924914675
peg_5,2068,2040,1633,20,387,155,232,0,80.04901960784314,0.9803921568627451,18.970588235294116,7.598039215686274
peg_6,1141,1137,1028,2,107,17,83,7,90.41336851363236,0.1759014951627089,9.410729991204926,1.4951627088830255
peg_7,2096,2085,1600,0,485,96,387,2,76.73860911270984,0.0,23.26139088729017,4.60431654676259
peg_8,47,47,0,0,47,47,0,0,0.0,0.0,100.0,100.0
peg_9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_11,522,518,439,2,77,21,56,0,84.74903474903475,0.3861003861003861,14.864864864864865,4.054054054054054
peg_12,1124,1124,871,6,247,35,211,1,77.49110320284697,0.5338078291814946,21.97508896797153,3.113879003558719
peg_13,811,811,749,4,58,10,48,0,92.35511713933415,0.4932182490752158,7.151664611590629,1.2330456226880395
peg_14,3345,3341,3008,22,311,130,180,1,90.03292427416942,0.6584854833882071,9.308590242442383,3.8910505836575875
peg_15,6275,6104,5133,31,940,404,513,23,84.09239842726082,0.5078636959370905,15.399737876802098,6.618610747051114
peg_16,214,214,204,0,10,3,5,2,95.32710280373831,0.0,4.672897196261682,1.4018691588785046
peg_17,400,344,223,2,119,42,77,0,64.82558139534883,0.5813953488372093,34.593023255813954,12.209302325581396
peg_18,267,235,68,0,167,15,149,3,28.93617021276596,0.0,71.06382978723404,6.382978723404255
peg_19,346,331,209,1,121,32,89,0,63.141993957703924,0.3021148036253776,36.5558912386707,9.667673716012084
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_21,115,98,0,0,98,0,0,98,0.0,0.0,100.0,0.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_29,264,214,0,0,214,107,0,107,0.0,0.0,100.0,50.0
peg_30,124,29,0,0,29,0,4,25,0.0,0.0,100.0,0.0
peg_31,22,9,1,1,7,1,6,0,11.11111111111111,11.11111111111111,77.77777777777777,11.11111111111111
peg_32,22,1,0,0,1,0,1,0,0.0,0.0,100.0,0.0
peg_33,10,1,1,0,0,0,0,0,100.0,0.0,0.0,0.0
peg_34,551,541,493,2,46,11,34,1,91.1275415896488,0.36968576709796674,8.502772643253234,2.033271719038817
peg_35,487,480,366,5,109,72,37,0,76.25,1.0416666666666667,22.708333333333332,15.0
peg_36,479,406,321,12,73,38,26,9,79.06403940886699,2.955665024630542,17.980295566502463,9.35960591133005
peg_37,80,11,0,0,11,7,4,0,0.0,0.0,100.0,63.63636363636363
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_39,37,17,0,0,17,9,5,3,0.0,0.0,100.0,52.94117647058823
peg_40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_41,2,2,0,0,2,0,0,2,0.0,0.0,100.0,0.0
peg_42,2879,2865,2476,25,364,181,159,24,86.42233856893543,0.8726003490401396,12.705061082024432,6.317626527050611
peg_43,2045,2031,1884,10,137,30,107,0,92.76218611521418,0.49236829148202854,6.745445593303791,1.4771048744460857
peg_44,1573,1566,1365,16,185,74,107,4,87.16475095785441,1.0217113665389528,11.813537675606641,4.725415070242656
peg_45,6,6,0,0,6,1,0,5,0.0,0.0,100.0,16.666666666666668
peg_46,49,26,0,0,26,23,3,0,0.0,0.0,100.0,88.46153846153847
peg_47,45,5,0,0,5,0,5,0,0.0,0.0,100.0,0.0
peg_48,3169,3153,2946,16,191,50,130,11,93.43482397716461,0.507453219156359,6.057722803679036,1.585791309863622
peg_49,313,313,271,0,42,10,31,1,86.5814696485623,0.0,13.418530351437699,3.194888178913738
peg_50,2309,2288,2114,20,154,40,102,12,92.3951048951049,0.8741258741258742,6.730769230769231,1.7482517482517483
peg_51,358,353,248,0,105,45,60,0,70.25495750708215,0.0,29.745042492917847,12.747875354107649
peg_52,516,479,371,1,107,43,64,0,77.45302713987473,0.20876826722338204,22.338204592901878,8.977035490605427
peg_53,612,604,537,1,66,29,36,1,88.90728476821192,0.16556291390728478,10.927152317880795,4.801324503311259
peg_54,169,77,53,0,24,13,11,0,68.83116883116882,0.0,31.16883116883117,16.883116883116884
peg_55,91,81,71,0,10,2,8,0,87.65432098765432,0.0,12.345679012345679,2.4691358024691357
peg_56,124,50,23,0,27,25,2,0,46.0,0.0,54.0,50.0
peg_57,202,192,134,0,58,50,8,0,69.79166666666667,0.0,30.208333333333332,26.041666666666668
peg_58,299,256,224,0,32,15,17,0,87.5,0.0,12.5,5.859375
peg_59,94,63,54,0,9,8,1,0,85.71428571428571,0.0,14.285714285714286,12.698412698412698
peg_60,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_61,49,43,39,0,4,2,1,1,90.69767441860465,0.0,9.30232558139535,4.651162790697675
peg_62,146,141,121,0,20,12,7,1,85.81560283687944,0.0,14.184397163120567,8.51063829787234
peg_63,105,61,44,0,17,5,12,0,72.1311475409836,0.0,27.868852459016395,8.19672131147541
