peg_id,Amplicon,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions
peg_0,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_0,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_2,Reference,1162,1152,1098,965,133,0,0,49,132,0,1,84,0,0,48,0
peg_2,HDR,1162,1152,53,50,3,0,0,0,3,0,0,3,0,0,0,0
peg_3,Reference,2076,2068,1881,1471,410,0,233,302,339,2,69,105,0,1,3,230
peg_3,HDR,2076,2068,185,180,5,0,0,1,4,0,1,4,0,0,0,0
peg_4,Reference,736,735,728,626,102,0,0,16,86,0,16,86,0,0,0,0
peg_4,HDR,736,735,6,6,0,0,0,0,0,0,0,0,0,0,0,0
peg_5,Reference,3151,3140,2656,2134,522,0,27,56,453,13,43,452,13,1,0,0
peg_5,HDR,3151,3140,483,426,57,0,0,19,39,0,18,38,0,0,1,0
peg_6,Reference,1102,1099,938,839,99,0,7,12,80,7,12,80,0,0,0,0
peg_6,HDR,1102,1099,155,152,3,0,0,0,3,0,0,3,0,0,0,0
peg_7,Reference,2942,2937,2863,2267,596,0,45,51,547,0,49,500,0,45,2,0
peg_7,HDR,2942,2937,70,58,12,0,0,0,12,0,0,12,0,0,0,0
peg_8,Reference,15,15,15,0,15,0,1,14,3,0,12,0,0,1,2,0
peg_8,HDR,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_11,Reference,1021,1012,947,863,84,0,4,2,83,1,0,78,0,3,2,0
peg_11,HDR,1021,1012,65,65,0,0,0,0,0,0,0,0,0,0,0,0
peg_12,Reference,1303,1282,1200,1101,99,0,13,16,70,13,16,70,0,0,0,0
peg_12,HDR,1303,1282,80,79,1,0,0,0,1,0,0,1,0,0,0,0
peg_13,Reference,965,964,940,897,43,0,1,3,39,1,3,39,0,0,0,0
peg_13,HDR,965,964,23,22,1,0,0,1,0,0,1,0,0,0,0,0
peg_14,Reference,5632,5621,5296,4729,567,0,0,258,313,0,254,309,0,0,4,0
peg_14,HDR,5632,5621,324,222,102,0,0,0,102,0,0,102,0,0,0,0
peg_15,Reference,8083,8058,7467,6768,699,0,1,14,687,0,12,684,0,1,2,0
peg_15,HDR,8083,8058,585,517,68,0,0,0,68,0,0,68,0,0,0,0
peg_16,Reference,58,57,56,46,10,0,0,0,10,0,0,10,0,0,0,0
peg_16,HDR,58,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_17,Reference,791,768,705,372,333,0,122,97,117,119,97,114,0,3,0,0
peg_17,HDR,791,768,62,22,40,0,3,1,38,2,0,37,0,0,0,1
peg_18,Reference,634,448,383,134,249,0,0,92,204,0,45,157,0,0,47,0
peg_18,HDR,634,448,22,17,5,0,0,0,5,0,0,5,0,0,0,0
peg_19,Reference,493,449,428,365,63,0,3,2,58,3,2,58,0,0,0,0
peg_19,HDR,493,449,21,11,10,0,0,1,9,0,1,9,0,0,0,0
peg_20,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_20,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,Reference,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,HDR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_24,Reference,7,5,5,0,5,0,0,5,1,0,4,0,0,0,1,0
peg_24,HDR,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_29,Reference,693,158,109,0,109,0,0,109,0,0,109,0,0,0,0,0
peg_29,HDR,693,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_30,Reference,166,121,52,0,52,0,0,44,15,0,37,8,0,0,7,0
peg_30,HDR,166,121,23,16,7,0,3,3,2,2,3,1,0,1,0,0
peg_31,Reference,67,63,18,1,17,0,0,0,17,0,0,17,0,0,0,0
peg_31,HDR,67,63,34,29,5,0,1,2,2,1,2,2,0,0,0,0
peg_32,Reference,51,35,14,2,12,0,0,5,8,0,4,7,0,0,1,0
peg_32,HDR,51,35,12,11,1,0,0,0,1,0,0,1,0,0,0,0
peg_33,Reference,37,22,4,0,4,0,0,0,4,0,0,4,0,0,0,0
peg_33,HDR,37,22,14,12,2,0,1,0,1,1,0,1,0,0,0,0
peg_34,Reference,1065,1046,993,869,124,0,0,26,101,0,23,98,0,0,3,0
peg_34,HDR,1065,1046,47,46,1,0,0,0,1,0,0,1,0,0,0,0
peg_35,Reference,1964,1948,1748,956,792,0,0,476,545,0,247,316,0,0,229,0
peg_35,HDR,1964,1948,195,171,24,0,16,1,7,16,1,7,0,0,0,0
peg_36,Reference,1807,1332,1127,780,347,0,0,16,337,0,10,331,0,0,6,0
peg_36,HDR,1807,1332,202,168,34,0,13,3,18,13,3,18,0,0,0,0
peg_37,Reference,1248,198,132,1,131,0,0,75,66,0,65,56,0,0,10,0
peg_37,HDR,1248,198,50,5,45,0,9,4,45,0,0,36,0,5,0,4
peg_38,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_38,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_39,Reference,302,276,87,1,86,0,16,45,48,0,37,26,1,15,7,0
peg_39,HDR,302,276,103,10,93,0,9,0,88,5,0,84,0,4,0,0
peg_40,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_40,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_41,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_41,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_42,Reference,20060,20001,18225,15569,2656,0,336,1214,1133,332,1191,1107,0,3,22,1
peg_42,HDR,20060,20001,1709,1425,284,0,232,3,60,222,2,49,0,10,1,0
peg_43,Reference,11887,11855,11150,10037,1113,0,46,50,1025,40,48,1017,0,6,2,0
peg_43,HDR,11887,11855,681,637,44,0,13,11,23,12,9,21,0,0,1,1
peg_44,Reference,9322,9301,8718,7948,770,0,0,145,629,0,141,625,0,0,4,0
peg_44,HDR,9322,9301,570,516,54,0,0,2,52,0,2,52,0,0,0,0
peg_45,Reference,50,49,49,0,49,0,0,47,2,0,47,2,0,0,0,0
peg_45,HDR,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_46,Reference,209,186,149,0,149,0,0,103,47,0,102,46,0,0,1,0
peg_46,HDR,209,186,20,9,11,0,1,9,10,1,0,1,0,0,9,0
peg_47,Reference,245,205,55,3,52,0,0,19,38,0,14,33,0,0,5,0
peg_47,HDR,245,205,48,28,20,0,13,10,8,4,0,5,8,1,2,0
peg_48,Reference,25591,25539,22728,20575,2153,0,33,430,1705,33,415,1690,0,0,15,0
peg_48,HDR,25591,25539,2629,2461,168,0,48,8,112,48,8,112,0,0,0,0
peg_49,Reference,659,657,643,578,65,0,0,31,35,0,30,34,0,0,1,0
peg_49,HDR,659,657,7,3,4,0,0,0,4,0,0,4,0,0,0,0
peg_50,Reference,9677,9654,9198,8591,607,0,137,18,487,102,17,453,1,34,0,0
peg_50,HDR,9677,9654,433,400,33,0,2,0,31,2,0,31,0,0,0,0
peg_51,Reference,1559,1547,1363,1071,292,0,4,16,277,3,12,273,0,0,3,1
peg_51,HDR,1559,1547,178,169,9,0,5,2,4,3,0,4,2,0,0,0
peg_52,Reference,2127,1965,1540,1185,355,0,0,17,340,0,15,338,0,0,2,0
peg_52,HDR,2127,1965,385,151,234,0,0,2,232,0,2,232,0,0,0,0
peg_53,Reference,1782,1704,1648,1487,161,0,0,66,98,0,63,95,0,0,3,0
peg_53,HDR,1782,1704,47,47,0,0,0,0,0,0,0,0,0,0,0,0
peg_54,Reference,993,751,737,490,247,0,2,59,186,2,59,186,0,0,0,0
peg_54,HDR,993,751,4,4,0,0,0,0,0,0,0,0,0,0,0,0
peg_55,Reference,628,608,608,562,46,0,0,0,46,0,0,46,0,0,0,0
peg_55,HDR,628,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_56,Reference,574,550,550,315,235,0,24,163,56,18,161,48,0,6,2,0
peg_56,HDR,574,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_57,Reference,974,963,955,756,199,0,0,129,76,0,123,70,0,0,6,0
peg_57,HDR,974,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_58,Reference,2119,2081,2076,1627,449,0,6,94,356,4,89,349,0,2,5,0
peg_58,HDR,2119,2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_59,Reference,828,779,777,681,96,0,8,12,89,6,1,76,0,2,11,0
peg_59,HDR,828,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_61,Reference,2264,2254,2240,2011,229,0,2,73,157,1,71,154,0,1,2,0
peg_61,HDR,2264,2254,13,12,1,0,0,0,1,0,0,1,0,0,0,0
peg_62,Reference,5068,4988,4944,4563,381,0,33,57,318,28,35,291,0,5,22,0
peg_62,HDR,5068,4988,9,8,1,0,0,0,1,0,0,1,0,0,0,0
peg_63,Reference,755,570,555,373,182,0,3,5,180,2,0,174,0,1,5,0
peg_63,HDR,755,570,9,7,2,0,1,1,1,1,0,0,0,0,1,0
peg_64,Reference,1522,1490,1489,1311,178,0,0,16,163,0,15,162,0,0,1,0
peg_64,HDR,1522,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_65,Reference,1667,1620,1607,1372,235,0,8,78,154,8,73,149,0,0,5,0
peg_65,HDR,1667,1620,4,3,1,0,0,0,1,0,0,1,0,0,0,0
peg_66,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_67,Reference,7573,7564,7410,6855,555,0,49,64,454,43,58,442,0,6,6,0
peg_67,HDR,7573,7564,57,55,2,0,0,0,2,0,0,2,0,0,0,0
peg_68,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_68,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_70,Reference,1547,1472,1423,598,825,0,9,22,798,9,18,794,0,0,4,0
peg_70,HDR,1547,1472,46,13,33,0,30,0,7,26,0,3,0,4,0,0
peg_71,Reference,2120,2050,2033,1780,253,0,0,79,178,0,75,174,0,0,4,0
peg_71,HDR,2120,2050,6,4,2,0,2,0,0,2,0,0,0,0,0,0
peg_72,Reference,1743,1714,1700,1448,252,0,0,30,223,0,29,222,0,0,1,0
peg_72,HDR,1743,1714,8,6,2,0,2,0,0,2,0,0,0,0,0,0
peg_73,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_74,Reference,438,436,435,404,31,0,0,1,30,0,1,30,0,0,0,0
peg_74,HDR,438,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_75,Reference,3439,3418,3286,2967,319,0,9,62,253,7,59,248,0,2,3,0
peg_75,HDR,3439,3418,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_76,Reference,4159,4145,3404,3215,189,0,0,38,153,0,36,151,0,0,2,0
peg_76,HDR,4159,4145,4,2,2,0,0,2,0,0,2,0,0,0,0,0
peg_77,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_77,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_78,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_78,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
