peg_id,Amplicon,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions
peg_0,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_0,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,Reference,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,HDR,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_2,Reference,575,553,552,506,46,0,0,8,45,0,1,38,0,0,7,0
peg_2,HDR,575,553,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_3,Reference,1314,1277,1273,1134,139,0,4,26,117,4,18,109,0,0,8,0
peg_3,HDR,1314,1277,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_4,Reference,532,521,520,458,62,0,4,8,52,3,7,50,0,1,1,0
peg_4,HDR,532,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_5,Reference,993,967,967,839,128,0,19,23,98,7,12,97,11,1,0,0
peg_5,HDR,993,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_6,Reference,640,633,631,586,45,0,1,6,38,1,6,38,0,0,0,0
peg_6,HDR,640,633,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_7,Reference,879,858,857,760,97,0,4,12,85,4,8,81,0,0,4,0
peg_7,HDR,879,858,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_8,Reference,37,7,7,0,7,0,0,7,1,0,6,0,0,0,1,0
peg_8,HDR,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_11,Reference,858,837,830,744,86,0,5,22,62,4,20,60,0,0,1,1
peg_11,HDR,858,837,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_12,Reference,646,641,638,544,94,0,3,2,90,3,1,89,0,0,1,0
peg_12,HDR,646,641,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_13,Reference,587,582,576,521,55,0,0,5,50,0,5,50,0,0,0,0
peg_13,HDR,587,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_14,Reference,1228,1218,1216,1080,136,0,0,40,102,0,34,96,0,0,6,0
peg_14,HDR,1228,1218,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_15,Reference,2120,2096,2092,1817,275,0,1,85,197,0,77,190,1,0,7,0
peg_15,HDR,2120,2096,3,3,0,0,0,0,0,0,0,0,0,0,0,0
peg_16,Reference,349,347,347,317,30,0,0,8,22,0,8,22,0,0,0,0
peg_16,HDR,349,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_17,Reference,503,483,482,385,97,0,2,50,48,2,47,45,0,0,3,0
peg_17,HDR,503,483,1,0,1,0,0,0,1,0,0,1,0,0,0,0
peg_18,Reference,726,697,697,525,172,0,6,54,119,4,49,112,0,2,5,0
peg_18,HDR,726,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_19,Reference,598,583,582,465,117,0,9,29,82,7,26,81,2,0,1,0
peg_19,HDR,598,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_20,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_20,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,Reference,19,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0
peg_21,HDR,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_24,Reference,4,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
peg_24,HDR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_29,Reference,85,28,14,0,14,0,0,12,2,0,12,2,0,0,0,0
peg_29,HDR,85,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_30,Reference,190,132,129,100,29,0,1,7,21,1,7,21,0,0,0,0
peg_30,HDR,190,132,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_31,Reference,105,81,81,64,17,0,0,2,16,0,1,15,0,0,1,0
peg_31,HDR,105,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_32,Reference,176,113,113,88,25,0,0,6,19,0,6,19,0,0,0,0
peg_32,HDR,176,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_33,Reference,107,87,86,68,18,0,1,4,13,1,4,13,0,0,0,0
peg_33,HDR,107,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_34,Reference,1305,1291,1288,1164,124,0,2,28,97,2,25,94,0,0,3,0
peg_34,HDR,1305,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_35,Reference,1222,1186,1181,1050,131,0,2,36,95,2,34,93,0,0,2,0
peg_35,HDR,1222,1186,3,3,0,0,0,0,0,0,0,0,0,0,0,0
peg_36,Reference,1145,1110,1097,971,126,0,1,32,95,1,30,93,0,0,2,0
peg_36,HDR,1145,1110,9,9,0,0,0,0,0,0,0,0,0,0,0,0
peg_37,Reference,161,106,101,62,39,0,1,3,35,1,3,35,0,0,0,0
peg_37,HDR,161,106,3,2,1,0,0,0,1,0,0,1,0,0,0,0
peg_38,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_38,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_39,Reference,136,105,99,72,27,0,0,6,21,0,6,21,0,0,0,0
peg_39,HDR,136,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_40,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_40,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_41,Reference,14,5,5,0,5,0,0,0,5,0,0,5,0,0,0,0
peg_41,HDR,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_42,Reference,4086,4053,4028,3691,337,0,25,62,255,22,60,250,0,3,2,0
peg_42,HDR,4086,4053,11,9,2,0,0,0,2,0,0,2,0,0,0,0
peg_43,Reference,3425,3391,3376,3065,311,0,8,60,248,8,55,243,0,0,5,0
peg_43,HDR,3425,3391,7,6,1,0,0,0,1,0,0,1,0,0,0,0
peg_44,Reference,2651,2623,2596,2318,278,0,4,76,201,3,74,198,0,1,2,0
peg_44,HDR,2651,2623,22,20,2,0,0,0,2,0,0,2,0,0,0,0
peg_45,Reference,16,5,5,0,5,0,0,0,5,0,0,5,0,0,0,0
peg_45,HDR,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_46,Reference,110,87,87,59,28,0,0,3,25,0,3,25,0,0,0,0
peg_46,HDR,110,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_47,Reference,230,172,169,124,45,0,1,1,45,0,0,44,0,0,0,1
peg_47,HDR,230,172,1,0,1,0,1,0,1,0,0,0,0,1,0,0
peg_48,Reference,5099,5062,5018,4670,348,0,8,70,281,7,59,271,1,0,10,0
peg_48,HDR,5099,5062,21,19,2,0,0,0,2,0,0,2,0,0,0,0
peg_49,Reference,1028,1017,1010,929,81,0,2,22,58,2,21,57,0,0,1,0
peg_49,HDR,1028,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_50,Reference,2970,2952,2942,2694,248,0,29,42,180,28,40,177,0,1,2,0
peg_50,HDR,2970,2952,4,3,1,0,0,0,1,0,0,1,0,0,0,0
peg_51,Reference,1116,1089,1086,962,124,0,12,38,77,11,36,75,0,0,1,1
peg_51,HDR,1116,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_52,Reference,1619,1592,1591,1410,181,0,0,38,143,0,38,143,0,0,0,0
peg_52,HDR,1619,1592,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_53,Reference,1633,1604,1600,1431,169,0,5,42,123,4,41,123,1,0,0,0
peg_53,HDR,1633,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_54,Reference,839,796,794,684,110,0,2,38,76,1,33,71,0,0,4,1
peg_54,HDR,839,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_55,Reference,343,325,324,294,30,0,0,5,25,0,5,25,0,0,0,0
peg_55,HDR,343,325,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_56,Reference,691,649,648,569,79,0,4,28,49,3,27,48,0,0,0,1
peg_56,HDR,691,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_57,Reference,366,351,350,304,46,0,0,10,36,0,10,36,0,0,0,0
peg_57,HDR,366,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_58,Reference,994,959,958,851,107,0,0,21,87,0,20,86,0,0,1,0
peg_58,HDR,994,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_59,Reference,529,504,504,462,42,0,1,12,29,1,12,29,0,0,0,0
peg_59,HDR,529,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_61,Reference,1869,1847,1836,1698,138,0,5,26,108,4,26,107,0,1,0,0
peg_61,HDR,1869,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_62,Reference,3066,3032,3003,2826,177,0,6,51,123,5,49,120,0,1,2,0
peg_62,HDR,3066,3032,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_63,Reference,745,711,708,597,111,0,0,26,88,0,23,85,0,0,3,0
peg_63,HDR,745,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_64,Reference,663,647,647,555,92,0,2,35,58,2,32,55,0,0,3,0
peg_64,HDR,663,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_65,Reference,779,740,728,624,104,0,7,22,75,7,22,75,0,0,0,0
peg_65,HDR,779,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,Reference,5,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
peg_66,HDR,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_67,Reference,3596,3577,3544,3293,251,0,14,49,190,14,47,188,0,0,2,0
peg_67,HDR,3596,3577,16,16,0,0,0,0,0,0,0,0,0,0,0,0
peg_68,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_68,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_70,Reference,1270,1197,1191,998,193,0,2,39,156,1,35,153,1,0,3,0
peg_70,HDR,1270,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_71,Reference,1214,1179,1179,1050,129,0,0,31,100,0,29,98,0,0,2,0
peg_71,HDR,1214,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_72,Reference,956,922,914,826,88,0,0,18,70,0,18,70,0,0,0,0
peg_72,HDR,956,922,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_74,Reference,1778,1770,1768,1670,98,0,1,12,86,0,12,85,0,1,0,0
peg_74,HDR,1778,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_75,Reference,3050,3034,3028,2779,249,0,7,40,205,5,39,202,0,2,1,0
peg_75,HDR,3050,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_76,Reference,3675,3657,3627,3378,249,0,6,64,193,5,51,179,0,1,13,0
peg_76,HDR,3675,3657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_77,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_77,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_78,Reference,9,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
peg_78,HDR,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,Reference,21,5,5,1,4,0,0,2,4,0,0,2,0,0,2,0
peg_79,HDR,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_82,Reference,10,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
