peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_1,25,7,0,0,7,0,0,7,0.0,0.0,100.0,0.0
peg_2,819,815,685,1,129,4,125,0,84.04907975460122,0.12269938650306748,15.828220858895705,0.49079754601226994
peg_3,1552,1503,1189,98,216,77,139,0,79.1084497671324,6.520292747837658,14.37125748502994,5.123087159015303
peg_4,692,691,629,4,58,1,57,0,91.02749638205499,0.5788712011577424,8.393632416787264,0.1447178002894356
peg_5,2309,2300,1647,78,575,281,294,0,71.6086956521739,3.391304347826087,25.0,12.217391304347826
peg_6,814,814,714,48,52,11,36,5,87.71498771498771,5.896805896805897,6.388206388206388,1.3513513513513513
peg_7,1775,1768,1551,31,186,3,182,1,87.72624434389141,1.753393665158371,10.520361990950226,0.16968325791855204
peg_8,84,82,0,0,82,82,0,0,0.0,0.0,100.0,100.0
peg_9,13,7,0,0,7,7,0,0,0.0,0.0,100.0,100.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_11,993,985,751,33,201,101,99,1,76.24365482233503,3.350253807106599,20.406091370558375,10.253807106598984
peg_12,849,841,717,26,98,32,64,2,85.25564803804994,3.0915576694411415,11.652794292508919,3.8049940546967895
peg_13,405,404,335,18,51,9,42,0,82.92079207920793,4.455445544554456,12.623762376237623,2.227722772277228
peg_14,2666,2664,2334,70,260,21,239,0,87.61261261261261,2.6276276276276276,9.75975975975976,0.7882882882882883
peg_15,5290,5279,4354,171,754,346,407,1,82.47774199659027,3.239249857927638,14.283008145482098,6.554271642356507
peg_16,89,89,83,2,4,1,3,0,93.25842696629213,2.247191011235955,4.49438202247191,1.1235955056179776
peg_17,397,344,226,1,117,42,75,0,65.69767441860465,0.29069767441860467,34.01162790697674,12.209302325581396
peg_18,647,572,76,10,486,129,357,0,13.286713286713287,1.7482517482517483,84.96503496503496,22.552447552447553
peg_19,330,303,206,4,93,6,87,0,67.98679867986799,1.3201320132013201,30.693069306930692,1.9801980198019802
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_21,66,65,0,0,65,0,0,65,0.0,0.0,100.0,0.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_24,1,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_29,65,54,0,0,54,20,1,33,0.0,0.0,100.0,37.03703703703704
peg_30,301,45,0,2,43,5,15,23,0.0,4.444444444444445,95.55555555555556,11.11111111111111
peg_31,74,44,0,2,42,4,34,4,0.0,4.545454545454546,95.45454545454545,9.090909090909092
peg_32,203,69,2,6,61,0,27,34,2.898550724637681,8.695652173913043,88.40579710144928,0.0
peg_33,40,24,0,4,20,2,18,0,0.0,16.666666666666668,83.33333333333333,8.333333333333334
peg_34,899,890,791,17,82,19,63,0,88.87640449438203,1.9101123595505618,9.213483146067416,2.134831460674157
peg_35,1212,1133,866,81,186,65,119,2,76.4342453662842,7.149161518093557,16.41659311562224,5.736981465136805
peg_36,1399,1100,753,55,292,30,239,23,68.45454545454545,5.0,26.545454545454547,2.727272727272727
peg_37,205,103,1,0,102,52,9,41,0.970873786407767,0.0,99.02912621359224,50.48543689320388
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_39,201,132,2,7,123,43,50,30,1.5151515151515151,5.303030303030303,93.18181818181819,32.57575757575758
peg_40,23,1,0,0,1,1,0,0,0.0,0.0,100.0,100.0
peg_41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_42,9423,9358,8098,330,930,151,713,66,86.53558452660825,3.5263945287454583,9.938020944646292,1.6135926480017098
peg_43,6567,6447,5798,124,525,179,327,19,89.93330231115247,1.9233752132774935,8.143322475570033,2.7764851869086398
peg_44,4311,4304,3729,113,462,107,350,5,86.6403345724907,2.62546468401487,10.734200743494425,2.4860594795539033
peg_45,41,38,0,0,38,0,0,38,0.0,0.0,100.0,0.0
peg_46,77,75,0,1,74,63,11,0,0.0,1.3333333333333333,98.66666666666667,84.0
peg_47,198,99,0,5,94,23,19,52,0.0,5.05050505050505,94.94949494949495,23.232323232323232
peg_48,13360,13322,11935,352,1035,384,584,67,89.58865035279987,2.642245909022669,7.769103738177451,2.882450082570185
peg_49,632,626,596,3,27,6,20,1,95.2076677316294,0.4792332268370607,4.313099041533547,0.9584664536741214
peg_50,7070,7045,6236,106,703,186,514,3,88.5166784953868,1.504613200851668,9.978708303761533,2.6401703335699076
peg_51,1210,1199,784,69,346,119,219,8,65.38782318598832,5.754795663052544,28.85738115095913,9.924937447873228
peg_52,1450,1345,1108,33,204,19,172,13,82.37918215613382,2.453531598513011,15.16728624535316,1.412639405204461
peg_53,1347,1330,1136,34,160,23,135,2,85.41353383458646,2.556390977443609,12.030075187969924,1.7293233082706767
peg_54,751,444,354,1,89,5,84,0,79.72972972972973,0.22522522522522523,20.045045045045047,1.1261261261261262
peg_55,392,377,323,3,51,17,31,3,85.6763925729443,0.7957559681697612,13.52785145888594,4.5092838196286475
peg_56,379,251,160,0,91,59,32,0,63.745019920318725,0.0,36.254980079681275,23.50597609561753
peg_57,506,463,438,0,25,1,24,0,94.60043196544277,0.0,5.399568034557236,0.2159827213822894
peg_58,1212,1118,967,0,151,62,87,2,86.49373881932021,0.0,13.506261180679786,5.545617173524151
