peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_1,11,5,0,0,5,0,0,5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_2,729,705,405,220,80,18,62,0,57.4468085106383,31.20567375886525,11.347517730496454,2.5531914893617023,31.0248419324638,3.029253716029908,1.106536878150129,65.9459043515063
peg_3,559,501,386,87,28,5,22,1,77.04590818363273,17.365269461077844,5.588822355289421,0.998003992015968,17.28696092544746,0.0,0.0,82.71303907455254
peg_4,355,353,346,3,4,1,3,0,98.0169971671388,0.8498583569405099,1.13314447592068,0.28328611898017,0.8498583569405099,0.0,0.0,99.15014164305948
peg_5,2000,1987,1297,422,268,196,72,0,65.27428283844992,21.238047307498743,13.487669854051331,9.864116758933063,21.238047307498743,0.2508549626345786,6.6583256524180685,78.51109772986668
peg_6,226,225,176,33,16,0,16,0,78.22222222222223,14.666666666666666,7.111111111111111,0.0,14.350710900473933,0.002106371774617699,0.0,85.64718272775144
peg_7,558,556,449,28,79,1,78,0,80.75539568345324,5.035971223021583,14.20863309352518,0.1798561151079136,4.919421106471467,2.903271788163874,0.0,92.17730710536466
peg_8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_9,7,7,0,0,7,0,7,0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_11,727,697,450,47,200,155,36,9,64.56241032998565,6.743185078909613,28.694404591104732,22.23816355810617,6.5042364528642125,17.82224210603902,19.131831419515965,75.67352144109677
peg_12,1392,1378,1161,113,104,7,95,2,84.25253991291727,8.200290275761974,7.547169811320755,0.5079825834542816,8.044284035512364,0.0,0.0,91.95571596448764
peg_13,604,598,535,24,39,9,30,0,89.4648829431438,4.013377926421405,6.521739130434782,1.5050167224080269,4.013377926421405,0.0,0.6459101931984049,95.9866220735786
peg_14,588,585,526,39,20,2,18,0,89.91452991452991,6.666666666666667,3.418803418803418,0.3418803418803419,6.58456486042693,0.0,0.0,93.41543513957308
peg_15,2759,2736,2236,196,304,40,261,3,81.72514619883042,7.16374269005848,11.11111111111111,1.4619883040935673,7.020612919066114,0.0,0.0,92.97938708093389
peg_16,8,8,7,0,1,0,1,0,87.5,0.0,12.5,0.0,0.0,3.8544668587896247,0.0,96.14553314121038
peg_17,192,175,111,10,54,8,46,0,63.42857142857143,5.714285714285714,30.857142857142858,4.571428571428571,5.714285714285714,10.567287784679088,0.0,83.7184265010352
peg_18,1536,1475,38,6,1431,15,1407,9,2.5762711864406778,0.4067796610169492,97.01694915254237,1.0169491525423728,0.4067796610169492,72.3397612041923,0.0,27.253459134790745
peg_19,178,171,135,4,32,9,22,1,78.94736842105263,2.3391812865497075,18.71345029239766,5.2631578947368425,2.3391812865497075,0.0,0.0,97.6608187134503
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_21,27,15,0,0,15,3,0,12,0.0,0.0,100.0,20.0,0.0,0.0,20.0,100.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_24,14,11,0,0,11,0,0,11,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_26,3,3,0,0,3,0,0,3,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_28,5,5,0,0,5,3,0,2,0.0,0.0,100.0,60.0,0.0,100.0,60.0,0.0
peg_29,21,11,0,0,11,10,0,1,0.0,0.0,100.0,90.9090909090909,0.0,0.0,48.05194805194806,100.0
peg_30,2147,1268,1,18,1249,105,38,1106,0.0788643533123028,1.4195583596214512,98.50157728706624,8.280757097791797,0.6619826020456936,75.01672880221776,2.2201510371857367,24.321288595736547
peg_31,556,228,2,18,208,44,20,144,0.8771929824561403,7.894736842105263,91.2280701754386,19.29824561403509,7.894736842105263,70.24041585445096,16.829109811565953,21.86484730344378
