peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_2,503,486,464,3,19,1,17,1,95.4732510288066,0.6172839506172839,3.909465020576132,0.205761316872428,0.43645212421583734,0.0,0.0,99.56354787578417
peg_3,906,889,801,7,81,40,37,4,90.10123734533184,0.7874015748031497,9.111361079865016,4.499437570303712,0.7090930391727659,0.0,2.150181501392201,99.29090696082723
peg_4,1178,1172,1068,0,104,6,97,1,91.12627986348124,0.0,8.873720136518772,0.5119453924914675,0.0,0.0,0.0,100.0
peg_5,2068,2040,1633,20,387,155,232,0,80.04901960784314,0.9803921568627452,18.97058823529412,7.598039215686274,0.9803921568627452,5.733773343877367,4.3922481091712795,93.28583449925989
peg_6,1141,1137,1028,2,107,17,83,7,90.41336851363236,0.1759014951627089,9.410729991204926,1.4951627088830255,0.0,2.301725251868433,0.3893175272084599,97.69827474813157
peg_7,2096,2085,1600,0,485,96,387,2,76.73860911270984,0.0,23.26139088729017,4.60431654676259,0.0,11.956029581928863,2.739514681960725,88.04397041807114
peg_8,47,47,0,0,47,47,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
peg_9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_11,522,518,439,2,77,21,56,0,84.74903474903475,0.3861003861003861,14.864864864864863,4.054054054054054,0.1471517600549859,3.9927023797991517,0.9477219154638514,95.86014586014586
peg_12,1124,1124,871,6,247,35,211,1,77.49110320284697,0.5338078291814946,21.97508896797153,3.113879003558719,0.37780158893188465,6.998489904008972,2.333847802310669,92.62370850705915
peg_13,811,811,749,4,58,10,48,0,92.35511713933415,0.4932182490752158,7.151664611590629,1.2330456226880395,0.4932182490752158,0.0,0.3739390934784176,99.50678175092479
peg_14,3345,3341,3008,22,311,130,180,1,90.03292427416942,0.6584854833882071,9.308590242442383,3.891050583657588,0.5763836771484699,0.0,0.606978334068097,99.42361632285153
peg_15,6275,6104,5133,31,940,404,513,23,84.09239842726082,0.5078636959370905,15.399737876802098,6.618610747051114,0.36473392494472406,2.231798945504387,2.5632672356007324,97.40346712955089
peg_16,214,214,204,0,10,3,5,2,95.32710280373831,0.0,4.672897196261682,1.4018691588785046,0.0,0.0,0.0,100.0
peg_17,400,344,223,2,119,42,77,0,64.82558139534883,0.5813953488372093,34.593023255813954,12.209302325581396,0.5813953488372093,14.303168183350184,1.4432567769271518,85.1154364678126
peg_18,267,235,68,0,167,15,149,3,28.93617021276596,0.0,71.06382978723404,6.382978723404255,0.0,46.386641838883975,0.0,53.613358161116025
peg_19,346,331,209,1,121,32,89,0,63.14199395770392,0.3021148036253776,36.5558912386707,9.667673716012084,0.3021148036253776,16.3157540174014,3.492716597658739,83.38213117897322
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_21,115,98,0,0,98,0,0,98,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_29,264,214,0,0,214,107,0,107,0.0,0.0,100.0,50.0,0.0,0.0,7.142857142857153,100.0
peg_30,124,29,0,0,29,0,4,25,0.0,0.0,100.0,0.0,0.0,76.51515151515152,0.0,23.484848484848484
peg_31,22,9,1,1,7,1,6,0,11.11111111111111,11.11111111111111,77.77777777777777,11.11111111111111,11.11111111111111,56.79012345679012,8.641975308641975,32.09876543209877
peg_32,22,1,0,0,1,0,1,0,0.0,0.0,100.0,0.0,0.0,77.87610619469027,0.0,22.123893805309734
peg_33,10,1,1,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_34,551,541,493,2,46,11,34,1,91.1275415896488,0.3696857670979667,8.502772643253234,2.033271719038817,0.3696857670979667,0.0,0.0,99.63031423290204
peg_35,487,480,366,5,109,72,37,0,76.25,1.0416666666666667,22.70833333333333,15.0,0.7887155705452502,11.49416807195053,11.795952782462058,87.71711635750422
peg_36,479,406,321,12,73,38,26,9,79.06403940886699,2.955665024630542,17.980295566502463,9.35960591133005,2.144854213819731,6.26858385479075,6.386632938357077,91.58656193138953
peg_37,80,11,0,0,11,7,4,0,0.0,0.0,100.0,63.63636363636363,0.0,60.37735849056604,59.862778730703255,39.62264150943396
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_39,37,17,0,0,17,9,5,3,0.0,0.0,100.0,52.94117647058823,0.0,68.57142857142857,47.22689075630252,31.42857142857143
peg_40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
peg_41,2,2,0,0,2,0,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
peg_42,2879,2865,2476,25,364,181,159,24,86.42233856893543,0.8726003490401396,12.705061082024432,6.317626527050611,0.6505426140290368,3.9954632532556182,4.171068421943283,95.35399413271534
peg_43,2045,2031,1884,10,137,30,107,0,92.76218611521418,0.4923682914820285,6.745445593303791,1.4771048744460855,0.3154293354218693,0.0,0.0,99.68457066457813
peg_44,1573,1566,1365,16,185,74,107,4,87.16475095785441,1.0217113665389528,11.81353767560664,4.725415070242656,0.25922566314589135,0.9481164022555149,1.6754722566704103,98.7926579345986
peg_45,6,6,0,0,6,1,0,5,0.0,0.0,100.0,16.666666666666668,0.0,0.0,16.666666666666668,100.0
peg_46,49,26,0,0,26,23,3,0,0.0,0.0,100.0,88.46153846153847,0.0,67.816091954023,85.0132625994695,32.183908045977006
peg_47,45,5,0,0,5,0,5,0,0.0,0.0,100.0,0.0,0.0,72.09302325581396,0.0,27.90697674418604
peg_48,3169,3153,2946,16,191,50,130,11,93.4348239771646,0.507453219156359,6.057722803679036,1.585791309863622,0.132107505999504,0.0,0.06465341970163063,99.8678924940005
peg_49,313,313,271,0,42,10,31,1,86.5814696485623,0.0,13.4185303514377,3.194888178913738,0.0,4.765629663138782,0.8350061730140332,95.23437033686122
peg_50,2309,2288,2114,20,154,40,102,12,92.3951048951049,0.8741258741258742,6.730769230769231,1.7482517482517483,0.7724998578657116,0.0,0.0,99.22750014213429
peg_51,358,353,248,0,105,45,60,0,70.25495750708215,0.0,29.745042492917847,12.747875354107649,0.0,18.08296719447891,8.248334490930421,81.91703280552109
peg_52,516,479,371,1,107,43,64,0,77.45302713987473,0.208768267223382,22.33820459290188,8.977035490605427,0.14595419687162328,10.96885785923354,6.590100817238593,88.88518794389483
peg_53,612,604,537,1,66,29,36,1,88.90728476821192,0.1655629139072847,10.927152317880797,4.801324503311259,0.1655629139072847,0.141616158279799,1.9334940793711088,99.69282092781292
peg_54,169,77,53,0,24,13,11,0,68.83116883116882,0.0,31.16883116883117,16.883116883116884,0.0,17.0984794100372,11.983619395679698,82.9015205899628
peg_55,91,81,71,0,10,2,8,0,87.65432098765432,0.0,12.34567901234568,2.469135802469136,0.0,3.1149097815764506,0.9306742640075978,96.88509021842356
peg_56,124,50,23,0,27,25,2,0,46.0,0.0,54.0,50.0,0.0,41.673343605547,45.22342064714946,58.326656394453
