peg_id,Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc
peg_0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_1,57,21,0,0,21,0,0,21,0.0,0.0,100.0,0.0
peg_2,762,761,631,16,114,12,100,2,82.91721419185282,2.102496714848883,14.98028909329829,1.5768725361366622
peg_3,1462,1453,1050,212,191,18,170,3,72.26428079834824,14.59050240880936,13.145216792842396,1.2388162422573985
peg_4,462,461,401,9,51,1,49,1,86.98481561822126,1.9522776572668112,11.062906724511931,0.21691973969631237
peg_5,1571,1568,1165,182,221,66,155,0,74.2984693877551,11.607142857142858,14.09438775510204,4.209183673469388
peg_6,761,758,551,142,65,1,45,19,72.69129287598945,18.733509234828496,8.575197889182059,0.13192612137203166
peg_7,1854,1843,1500,154,189,2,187,0,81.38903960933261,8.355941399891481,10.255018990775909,0.10851871947911014
peg_8,50,49,0,0,49,49,0,0,0.0,0.0,100.0,100.0
peg_9,20,15,0,0,15,1,1,13,0.0,0.0,100.0,6.666666666666667
peg_10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_11,880,869,627,77,165,86,67,12,72.15189873417721,8.860759493670885,18.9873417721519,9.896432681242807
peg_12,714,712,565,51,96,12,81,3,79.35393258426966,7.162921348314606,13.48314606741573,1.6853932584269662
peg_13,255,255,231,9,15,3,12,0,90.58823529411765,3.5294117647058822,5.882352941176471,1.1764705882352942
peg_14,2045,2044,1703,148,193,7,185,1,83.31702544031312,7.240704500978474,9.442270058708415,0.3424657534246575
peg_15,4539,4518,3274,692,552,63,485,4,72.46569278441788,15.31651173085436,12.217795484727755,1.3944223107569722
peg_16,96,95,72,7,16,0,16,0,75.78947368421052,7.368421052631579,16.842105263157894,0.0
peg_17,361,356,260,17,79,7,72,0,73.03370786516854,4.775280898876405,22.191011235955056,1.9662921348314606
peg_18,618,609,78,17,514,256,257,1,12.807881773399014,2.7914614121510675,84.40065681444992,42.03612479474548
peg_19,326,285,185,7,93,1,92,0,64.91228070175438,2.456140350877193,32.63157894736842,0.3508771929824561
peg_20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_21,11,5,0,0,5,0,0,5,0.0,0.0,100.0,0.0
peg_22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_24,4,4,0,0,4,4,0,0,0.0,0.0,100.0,100.0
peg_25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_29,39,33,0,0,33,12,0,21,0.0,0.0,100.0,36.36363636363637
peg_30,232,162,0,12,150,14,46,90,0.0,7.407407407407407,92.5925925925926,8.641975308641975
peg_31,79,69,0,20,49,4,36,9,0.0,28.985507246376812,71.01449275362319,5.797101449275362
peg_32,126,101,0,4,97,1,23,73,0.0,3.9603960396039604,96.03960396039604,0.9900990099009901
peg_33,91,71,0,8,63,9,40,14,0.0,11.267605633802816,88.73239436619718,12.67605633802817
peg_34,997,992,841,46,105,20,83,2,84.77822580645162,4.637096774193548,10.584677419354838,2.0161290322580645
peg_35,1212,1192,733,144,315,72,235,8,61.493288590604024,12.080536912751677,26.426174496644297,6.040268456375839
peg_36,1550,1377,825,151,401,16,379,6,59.91285403050109,10.965867828612927,29.121278140885984,1.1619462599854757
peg_37,356,54,1,8,45,17,13,15,1.8518518518518519,14.814814814814815,83.33333333333333,31.48148148148148
peg_38,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_39,208,171,0,6,165,54,91,20,0.0,3.508771929824561,96.49122807017544,31.57894736842105
peg_40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_41,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
peg_42,13901,13883,10733,1386,1764,256,1265,243,77.31037960095081,9.983432975581646,12.70618742346755,1.8439818483036807
peg_43,9403,9317,7143,754,1420,252,1125,43,76.66630889771386,8.092733712568423,15.240957389717721,2.70473328324568
peg_44,6049,6045,5070,254,721,134,585,2,83.87096774193549,4.201819685690653,11.927212572373863,2.216708023159636
peg_45,27,26,0,0,26,0,3,23,0.0,0.0,100.0,0.0
peg_46,36,33,0,4,29,17,11,1,0.0,12.121212121212121,87.87878787878788,51.515151515151516
peg_47,163,133,1,16,116,15,83,18,0.7518796992481203,12.030075187969924,87.21804511278195,11.278195488721805
peg_48,16709,16689,14395,871,1423,204,1121,98,86.25441907843489,5.2190065312481275,8.526574390316975,1.2223620348732698
peg_49,495,491,454,11,26,3,22,1,92.4643584521385,2.240325865580448,5.295315682281059,0.6109979633401222
peg_50,9182,9178,8009,388,781,178,597,6,87.26302026585313,4.227500544780998,8.509479189365875,1.9394203530180867
peg_51,1350,1328,764,149,415,84,324,7,57.53012048192771,11.21987951807229,31.25,6.325301204819277
peg_52,1683,1645,1123,153,369,79,283,7,68.26747720364742,9.300911854103344,22.43161094224924,4.802431610942249
peg_53,1267,1247,991,60,196,11,182,3,79.47072975140337,4.811547714514836,15.717722534081796,0.8821170809943866
peg_54,792,751,655,2,94,7,87,0,87.21704394141145,0.2663115845539281,12.51664447403462,0.9320905459387483
