peg_id,Amplicon,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions
peg_0,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_0,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_2,Reference,649,649,532,505,27,0,6,1,20,6,1,20,0,0,0,0
peg_2,HDR,649,649,117,112,5,0,1,0,4,1,0,4,0,0,0,0
peg_3,Reference,1721,1634,1525,829,696,0,8,569,163,7,525,120,1,0,43,0
peg_3,HDR,1721,1634,109,107,2,0,0,0,2,0,0,2,0,0,0,0
peg_4,Reference,760,760,757,712,45,0,1,4,43,1,1,40,0,0,3,0
peg_4,HDR,760,760,3,3,0,0,0,0,0,0,0,0,0,0,0,0
peg_5,Reference,1500,1496,1373,1280,93,0,28,28,66,3,2,62,22,0,1,3
peg_5,HDR,1500,1496,123,122,1,0,0,0,1,0,0,1,0,0,0,0
peg_6,Reference,790,789,643,600,43,0,0,0,43,0,0,43,0,0,0,0
peg_6,HDR,790,789,145,127,18,0,2,0,16,2,0,16,0,0,0,0
peg_7,Reference,958,952,885,755,130,0,0,3,127,0,3,127,0,0,0,0
peg_7,HDR,958,952,65,28,37,0,0,0,37,0,0,37,0,0,0,0
peg_8,Reference,6,6,6,0,6,0,0,6,0,0,6,0,0,0,0,0
peg_8,HDR,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,Reference,10,2,2,0,2,0,0,2,2,0,0,0,0,0,2,0
peg_9,HDR,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_11,Reference,1904,1893,1827,978,849,0,3,48,802,1,46,798,0,2,2,0
peg_11,HDR,1904,1893,65,28,37,0,1,12,24,1,12,24,0,0,0,0
peg_12,Reference,699,699,652,617,35,0,0,5,30,0,5,30,0,0,0,0
peg_12,HDR,699,699,46,46,0,0,0,0,0,0,0,0,0,0,0,0
peg_13,Reference,578,578,533,501,32,0,0,0,32,0,0,32,0,0,0,0
peg_13,HDR,578,578,41,33,8,0,0,0,8,0,0,8,0,0,0,0
peg_14,Reference,2242,2241,2197,2029,168,0,0,2,166,0,2,166,0,0,0,0
peg_14,HDR,2242,2241,43,37,6,0,0,0,6,0,0,6,0,0,0,0
peg_15,Reference,5039,5019,4868,4643,225,0,0,28,197,0,28,197,0,0,0,0
peg_15,HDR,5039,5019,150,137,13,0,0,0,13,0,0,13,0,0,0,0
peg_16,Reference,356,356,355,339,16,0,0,12,4,0,12,4,0,0,0,0
peg_16,HDR,356,356,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_17,Reference,178,173,168,156,12,0,2,2,10,0,2,8,0,2,0,0
peg_17,HDR,178,173,5,0,5,0,3,0,2,3,0,2,0,0,0,0
peg_18,Reference,274,207,167,98,69,0,0,0,69,0,0,69,0,0,0,0
peg_18,HDR,274,207,40,12,28,0,0,0,28,0,0,28,0,0,0,0
peg_19,Reference,233,230,213,191,22,0,2,1,20,1,1,19,0,1,0,0
peg_19,HDR,233,230,17,12,5,0,0,0,5,0,0,5,0,0,0,0
peg_20,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_20,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,Reference,29,17,5,0,5,0,0,5,5,0,0,0,0,0,5,0
peg_21,HDR,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,Reference,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,HDR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_24,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_24,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_29,Reference,16,13,13,0,13,0,0,13,0,0,13,0,0,0,0,0
peg_29,HDR,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_30,Reference,1593,1057,126,2,124,0,29,61,104,0,18,62,2,1,15,26
peg_30,HDR,1593,1057,53,13,40,0,18,10,30,9,1,12,0,9,9,0
peg_31,Reference,1670,346,71,0,71,0,44,16,66,0,5,12,0,43,10,1
peg_31,HDR,1670,346,70,55,15,0,5,1,14,1,0,9,0,4,1,0
peg_32,Reference,276,154,76,0,76,0,3,16,72,0,4,57,0,3,12,0
peg_32,HDR,276,154,5,4,1,0,0,0,1,0,0,1,0,0,0,0
peg_33,Reference,224,146,38,1,37,0,2,1,36,0,1,34,0,2,0,0
peg_33,HDR,224,146,34,26,8,0,2,3,6,2,0,3,0,0,3,0
peg_34,Reference,1172,1158,1125,919,206,0,56,48,108,51,47,103,0,4,0,1
peg_34,HDR,1172,1158,32,18,14,0,10,2,8,4,2,2,0,6,0,0
peg_35,Reference,1626,1558,1471,1036,435,0,0,137,302,0,133,298,0,0,4,0
peg_35,HDR,1626,1558,75,69,6,0,1,0,5,1,0,5,0,0,0,0
peg_36,Reference,1292,1213,954,746,208,0,5,3,201,4,3,200,0,1,0,0
peg_36,HDR,1292,1213,233,224,9,0,0,0,9,0,0,9,0,0,0,0
peg_37,Reference,1345,486,161,0,161,0,9,11,160,0,1,150,0,0,1,9
peg_37,HDR,1345,486,66,6,60,0,10,23,37,5,18,30,0,2,2,3
peg_38,Reference,859,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_38,HDR,859,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_39,Reference,1299,707,269,1,268,0,26,84,234,0,27,182,7,2,33,17
peg_39,HDR,1299,707,180,32,148,0,17,17,134,11,3,114,0,6,14,0
peg_40,Reference,91,12,3,0,3,0,1,2,1,0,2,0,0,1,0,0
peg_40,HDR,91,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_41,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_41,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_42,Reference,16214,16086,15132,12493,2639,0,848,35,2302,306,31,1756,0,542,4,0
peg_42,HDR,16214,16086,924,879,45,0,19,6,23,19,3,20,0,0,3,0
peg_43,Reference,8289,8248,8102,7222,880,0,12,65,805,12,63,803,0,0,2,0
peg_43,HDR,8289,8248,133,130,3,0,0,1,2,0,1,2,0,0,0,0
peg_44,Reference,3469,3466,3343,3135,208,0,0,34,183,0,25,174,0,0,9,0
peg_44,HDR,3469,3466,84,82,2,0,1,0,1,1,0,1,0,0,0,0
peg_45,Reference,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_45,HDR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_46,Reference,77,46,13,0,13,0,2,5,10,0,3,6,0,2,2,0
peg_46,HDR,77,46,9,6,3,0,2,0,1,2,0,1,0,0,0,0
peg_47,Reference,2569,1533,153,0,153,0,16,14,150,1,1,126,1,12,10,2
peg_47,HDR,2569,1533,66,41,25,0,10,8,11,7,7,7,0,3,1,0
peg_48,Reference,12200,12091,11855,9665,2190,0,18,160,2017,17,156,2012,0,1,4,0
peg_48,HDR,12200,12091,221,198,23,0,0,8,15,0,8,15,0,0,0,0
peg_49,Reference,251,250,248,232,16,0,0,2,14,0,2,14,0,0,0,0
peg_49,HDR,251,250,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_50,Reference,6237,5753,5620,5289,331,0,11,23,300,8,23,297,0,3,0,0
peg_50,HDR,6237,5753,130,103,27,0,0,0,27,0,0,27,0,0,0,0
peg_51,Reference,1723,1639,1505,1040,465,0,55,37,386,54,25,373,0,1,12,0
peg_51,HDR,1723,1639,120,109,11,0,5,0,6,5,0,6,0,0,0,0
peg_52,Reference,1751,1739,1343,1060,283,0,1,27,264,0,19,256,0,0,7,1
peg_52,HDR,1751,1739,383,136,247,0,1,1,245,1,1,245,0,0,0,0
peg_53,Reference,786,784,765,705,60,0,0,16,44,0,16,44,0,0,0,0
peg_53,HDR,786,784,18,18,0,0,0,0,0,0,0,0,0,0,0,0
peg_54,Reference,374,350,346,289,57,0,0,1,56,0,1,56,0,0,0,0
peg_54,HDR,374,350,4,4,0,0,0,0,0,0,0,0,0,0,0,0
peg_55,Reference,160,156,89,68,21,0,0,14,7,0,14,7,0,0,0,0
peg_55,HDR,160,156,67,66,1,0,0,0,1,0,0,1,0,0,0,0
peg_56,Reference,126,102,102,94,8,0,0,4,4,0,4,4,0,0,0,0
peg_56,HDR,126,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_57,Reference,316,312,312,260,52,0,0,1,51,0,1,51,0,0,0,0
peg_57,HDR,316,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_58,Reference,850,749,748,719,29,0,0,4,26,0,3,25,0,0,1,0
peg_58,HDR,850,749,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_59,Reference,360,356,355,342,13,0,0,4,9,0,4,9,0,0,0,0
peg_59,HDR,360,356,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_61,Reference,466,458,457,427,30,0,6,3,22,6,2,21,0,0,1,0
peg_61,HDR,466,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_62,Reference,937,923,913,808,105,0,1,65,91,1,13,39,0,0,52,0
peg_62,HDR,937,923,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_63,Reference,280,239,239,218,21,0,0,4,17,0,4,17,0,0,0,0
peg_63,HDR,280,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_64,Reference,514,500,500,480,20,0,0,9,11,0,9,11,0,0,0,0
peg_64,HDR,514,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_65,Reference,637,630,628,589,39,0,15,5,21,14,4,19,0,1,1,0
peg_65,HDR,637,630,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_67,Reference,1644,1627,1608,1418,190,0,6,2,183,6,1,182,0,0,1,0
peg_67,HDR,1644,1627,6,6,0,0,0,0,0,0,0,0,0,0,0,0
peg_68,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_68,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_70,Reference,961,919,907,430,477,0,0,452,26,0,451,25,0,0,1,0
peg_70,HDR,961,919,11,5,6,0,5,1,0,5,1,0,0,0,0,0
peg_71,Reference,972,965,965,871,94,0,12,13,78,11,5,69,0,1,8,0
peg_71,HDR,972,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_72,Reference,882,867,864,708,156,0,1,6,150,0,6,149,0,1,0,0
peg_72,HDR,882,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_74,Reference,193,189,188,185,3,0,0,0,3,0,0,3,0,0,0,0
peg_74,HDR,193,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_75,Reference,379,379,378,355,23,0,6,4,19,2,0,17,2,0,0,2
peg_75,HDR,379,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_76,Reference,469,469,468,409,59,0,0,2,57,0,2,57,0,0,0,0
peg_76,HDR,469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_77,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_77,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_78,Reference,3,3,3,0,3,0,0,3,0,0,3,0,0,0,0,0
peg_78,HDR,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_82,Reference,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0
