peg_id,Amplicon,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions
peg_0,Reference,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_0,HDR,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,Reference,66,33,25,0,25,0,0,25,25,0,0,0,0,0,25,0
peg_1,HDR,66,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_2,Reference,987,958,938,842,96,0,4,1,92,3,1,91,0,1,0,0
peg_2,HDR,987,958,18,17,1,0,0,0,1,0,0,1,0,0,0,0
peg_3,Reference,1860,1733,1567,1328,239,0,2,14,223,2,14,223,0,0,0,0
peg_3,HDR,1860,1733,164,159,5,0,0,2,3,0,2,3,0,0,0,0
peg_4,Reference,912,910,884,832,52,0,0,8,52,0,0,44,0,0,8,0
peg_4,HDR,912,910,26,25,1,0,0,0,1,0,0,1,0,0,0,0
peg_5,Reference,2257,2254,2084,1694,390,0,64,57,332,4,25,300,29,29,1,2
peg_5,HDR,2257,2254,169,163,6,0,3,0,3,3,0,3,0,0,0,0
peg_6,Reference,799,798,724,685,39,0,0,3,36,0,3,36,0,0,0,0
peg_6,HDR,799,798,74,70,4,0,0,0,4,0,0,4,0,0,0,0
peg_7,Reference,2142,2136,2025,1770,255,0,11,1,244,10,1,243,0,1,0,0
peg_7,HDR,2142,2136,109,100,9,0,0,0,9,0,0,9,0,0,0,0
peg_8,Reference,44,42,42,0,42,0,1,41,2,0,40,0,0,1,1,0
peg_8,HDR,44,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_11,Reference,1023,1022,913,786,127,0,1,34,93,1,33,92,0,0,1,0
peg_11,HDR,1023,1022,107,106,1,0,0,0,1,0,0,1,0,0,0,0
peg_12,Reference,1005,999,900,805,95,0,1,31,63,1,31,63,0,0,0,0
peg_12,HDR,1005,999,98,93,5,0,0,0,5,0,0,5,0,0,0,0
peg_13,Reference,771,771,741,690,51,0,0,4,47,0,4,47,0,0,0,0
peg_13,HDR,771,771,30,27,3,0,0,0,3,0,0,3,0,0,0,0
peg_14,Reference,2491,2474,2332,2173,159,0,0,11,148,0,11,148,0,0,0,0
peg_14,HDR,2491,2474,141,131,10,0,0,0,10,0,0,10,0,0,0,0
peg_15,Reference,5412,5394,5101,4291,810,0,8,275,531,8,271,527,0,0,4,0
peg_15,HDR,5412,5394,286,251,35,0,0,0,35,0,0,35,0,0,0,0
peg_16,Reference,165,165,157,152,5,0,0,3,2,0,3,2,0,0,0,0
peg_16,HDR,165,165,8,8,0,0,0,0,0,0,0,0,0,0,0,0
peg_17,Reference,476,455,433,298,135,0,0,2,134,0,1,133,0,0,1,0
peg_17,HDR,476,455,21,14,7,0,0,0,7,0,0,7,0,0,0,0
peg_18,Reference,366,317,302,117,185,0,0,68,185,0,0,117,0,0,68,0
peg_18,HDR,366,317,15,12,3,0,0,0,3,0,0,3,0,0,0,0
peg_19,Reference,563,563,548,318,230,0,161,17,213,0,17,52,0,161,0,0
peg_19,HDR,563,563,15,12,3,0,0,0,3,0,0,3,0,0,0,0
peg_20,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_20,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,Reference,67,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,HDR,67,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_24,Reference,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_24,HDR,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_29,Reference,297,186,66,0,66,0,0,63,6,0,60,3,0,0,3,0
peg_29,HDR,297,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_30,Reference,328,215,84,0,84,0,1,26,75,0,9,57,0,1,17,0
peg_30,HDR,328,215,39,28,11,0,1,9,9,1,1,1,0,0,8,0
peg_31,Reference,210,88,42,3,39,0,0,1,39,0,0,38,0,0,1,0
peg_31,HDR,210,88,31,19,12,0,7,3,5,6,0,3,1,0,2,0
peg_32,Reference,265,75,50,5,45,0,1,11,34,0,11,33,0,1,0,0
peg_32,HDR,265,75,10,6,4,0,1,1,2,1,1,2,0,0,0,0
peg_33,Reference,76,71,39,1,38,0,1,0,38,0,0,37,0,1,0,0
peg_33,HDR,76,71,10,10,0,0,0,0,0,0,0,0,0,0,0,0
peg_34,Reference,1783,1772,1715,1597,118,0,10,32,87,10,21,76,0,0,11,0
peg_34,HDR,1783,1772,55,50,5,0,0,3,2,0,3,2,0,0,0,0
peg_35,Reference,1546,1534,1378,1167,211,0,0,8,203,0,8,203,0,0,0,0
peg_35,HDR,1546,1534,153,144,9,0,2,1,7,1,0,7,1,0,0,0
peg_36,Reference,1743,1566,1322,1154,168,0,0,2,167,0,1,166,0,0,1,0
peg_36,HDR,1743,1566,239,223,16,0,9,0,7,9,0,7,0,0,0,0
peg_37,Reference,478,194,80,0,80,0,2,49,31,0,49,29,0,2,0,0
peg_37,HDR,478,194,53,8,45,0,4,1,43,1,1,40,0,3,0,0
peg_38,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_38,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_39,Reference,351,307,58,2,56,0,0,33,40,0,16,23,0,0,17,0
peg_39,HDR,351,307,116,10,106,0,19,19,101,2,3,81,0,4,3,13
peg_40,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_40,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_41,Reference,15,7,7,0,7,0,6,0,7,0,0,1,0,6,0,0
peg_41,HDR,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_42,Reference,12647,12631,11609,10050,1559,0,83,267,1218,79,262,1209,0,4,5,0
peg_42,HDR,12647,12631,855,817,38,0,12,0,26,12,0,26,0,0,0,0
peg_43,Reference,9638,9608,9128,8302,826,0,22,77,737,22,67,727,0,0,10,0
peg_43,HDR,9638,9608,445,415,30,0,19,0,11,19,0,11,0,0,0,0
peg_44,Reference,6756,6743,6349,5909,440,0,2,121,319,1,120,317,0,1,1,0
peg_44,HDR,6756,6743,346,336,10,0,4,0,6,4,0,6,0,0,0,0
peg_45,Reference,34,33,17,0,17,0,0,17,1,0,16,0,0,0,1,0
peg_45,HDR,34,33,9,0,9,0,0,9,0,0,9,0,0,0,0,0
peg_46,Reference,177,168,145,2,143,0,0,56,88,0,55,87,0,0,1,0
peg_46,HDR,177,168,7,4,3,0,2,0,3,0,0,1,0,2,0,0
peg_47,Reference,275,151,82,3,79,0,1,24,55,0,24,54,0,1,0,0
peg_47,HDR,275,151,49,37,12,0,5,2,6,4,2,5,0,1,0,0
peg_48,Reference,13943,13931,13235,11979,1256,0,29,162,1072,27,157,1065,0,2,5,0
peg_48,HDR,13943,13931,629,590,39,0,5,0,34,5,0,34,0,0,0,0
peg_49,Reference,729,724,714,670,44,0,3,3,38,3,3,38,0,0,0,0
peg_49,HDR,729,724,10,10,0,0,0,0,0,0,0,0,0,0,0,0
peg_50,Reference,8524,8513,8250,7357,893,0,61,153,680,60,153,679,0,1,0,0
peg_50,HDR,8524,8513,249,187,62,0,1,0,62,0,0,61,0,1,0,0
peg_51,Reference,1675,1668,1545,1107,438,0,16,178,250,15,173,244,0,1,5,0
peg_51,HDR,1675,1668,119,111,8,0,1,1,6,1,1,6,0,0,0,0
peg_52,Reference,2620,2594,2435,1897,538,0,13,26,510,10,18,499,0,3,8,0
peg_52,HDR,2620,2594,150,140,10,0,1,0,9,1,0,9,0,0,0,0
peg_53,Reference,1864,1853,1777,1622,155,0,11,28,116,11,28,116,0,0,0,0
peg_53,HDR,1864,1853,50,47,3,0,0,2,1,0,2,1,0,0,0,0
peg_54,Reference,1009,945,943,743,200,0,10,33,158,9,33,157,0,1,0,0
peg_54,HDR,1009,945,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_55,Reference,793,734,732,668,64,0,0,1,63,0,1,63,0,0,0,0
peg_55,HDR,793,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_56,Reference,625,596,596,478,118,0,2,97,20,2,96,19,0,0,1,0
peg_56,HDR,625,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_57,Reference,980,975,974,900,74,0,0,10,64,0,10,64,0,0,0,0
peg_57,HDR,980,975,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_58,Reference,2318,2067,2050,1867,183,0,9,22,152,9,22,152,0,0,0,0
peg_58,HDR,2318,2067,14,14,0,0,0,0,0,0,0,0,0,0,0,0
peg_59,Reference,973,906,905,851,54,0,14,3,37,14,3,37,0,0,0,0
peg_59,HDR,973,906,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_61,Reference,2234,2193,2185,2072,113,0,2,4,108,1,4,107,0,1,0,0
peg_61,HDR,2234,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_62,Reference,4006,3959,3893,3607,286,0,7,106,175,7,104,173,0,0,2,0
peg_62,HDR,4006,3959,9,9,0,0,0,0,0,0,0,0,0,0,0,0
peg_63,Reference,850,804,783,606,177,0,2,61,121,2,54,114,0,0,7,0
peg_63,HDR,850,804,20,17,3,0,2,1,0,2,1,0,0,0,0,0
peg_64,Reference,1460,1430,1429,1269,160,0,6,21,136,6,18,133,0,0,3,0
peg_64,HDR,1460,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_65,Reference,1867,1760,1758,1589,169,0,5,15,150,5,14,149,0,0,1,0
peg_65,HDR,1867,1760,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_67,Reference,6182,6158,6077,5535,542,0,39,37,478,37,27,466,0,2,10,0
peg_67,HDR,6182,6158,62,41,21,0,0,5,16,0,5,16,0,0,0,0
peg_68,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_68,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_70,Reference,1295,1011,993,839,154,0,9,26,123,8,23,119,0,1,3,0
peg_70,HDR,1295,1011,15,13,2,0,1,0,1,1,0,1,0,0,0,0
peg_71,Reference,2445,2418,2411,2108,303,0,1,61,245,1,57,241,0,0,4,0
peg_71,HDR,2445,2418,4,4,0,0,0,0,0,0,0,0,0,0,0,0
peg_72,Reference,2010,1941,1915,1740,175,0,1,25,156,1,18,149,0,0,7,0
peg_72,HDR,2010,1941,17,17,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_74,Reference,592,569,567,541,26,0,0,0,26,0,0,26,0,0,0,0
peg_74,HDR,592,569,2,0,2,0,0,0,2,0,0,2,0,0,0,0
peg_75,Reference,3336,3331,3295,3032,263,0,7,30,226,7,30,226,0,0,0,0
peg_75,HDR,3336,3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_76,Reference,2676,2651,2629,2374,255,0,8,105,182,7,66,142,0,1,39,0
peg_76,HDR,2676,2651,2,1,1,0,0,0,1,0,0,1,0,0,0,0
peg_77,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_77,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_78,Reference,30,25,25,0,25,0,0,25,0,0,25,0,0,0,0,0
peg_78,HDR,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_82,Reference,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,0
peg_82,HDR,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_83,Reference,3926,3909,3902,3606,296,0,0,92,211,0,85,204,0,0,7,0
peg_83,HDR,3926,3909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_84,Reference,1340,1325,1299,1125,174,0,9,53,114,8,52,112,0,1,1,0
peg_84,HDR,1340,1325,26,25,1,0,0,0,1,0,0,1,0,0,0,0
peg_85,Reference,1696,1637,1615,1437,178,0,10,81,92,7,79,87,0,3,2,0
peg_85,HDR,1696,1637,13,13,0,0,0,0,0,0,0,0,0,0,0,0
peg_86,Reference,294,289,275,242,33,0,0,11,33,0,0,22,0,0,11,0
peg_86,HDR,294,289,9,9,0,0,0,0,0,0,0,0,0,0,0,0
peg_87,Reference,849,767,707,539,168,0,89,11,74,84,10,68,0,5,1,0
peg_87,HDR,849,767,59,56,3,0,3,0,0,3,0,0,0,0,0,0
peg_88,Reference,1298,1292,1252,1168,84,0,34,10,46,33,5,40,0,1,5,0
peg_88,HDR,1298,1292,37,34,3,0,0,0,3,0,0,3,0,0,0,0
peg_89,Reference,1023,1017,1002,929,73,0,2,0,71,2,0,71,0,0,0,0
peg_89,HDR,1023,1017,13,13,0,0,0,0,0,0,0,0,0,0,0,0
peg_90,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_90,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_91,Reference,1510,1499,1498,1363,135,0,4,55,76,4,55,76,0,0,0,0
peg_91,HDR,1510,1499,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_92,Reference,2759,2718,2692,2421,271,0,3,112,163,3,105,156,0,0,7,0
peg_92,HDR,2759,2718,20,18,2,0,0,0,2,0,0,2,0,0,0,0
peg_93,Reference,2851,2832,2796,2521,275,0,24,68,198,24,53,183,0,0,15,0
peg_93,HDR,2851,2832,23,22,1,0,0,0,1,0,0,1,0,0,0,0
peg_94,Reference,940,891,866,401,465,0,7,348,117,7,341,110,0,0,7,0
peg_94,HDR,940,891,25,24,1,0,1,0,0,1,0,0,0,0,0,0
peg_95,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_95,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_96,Reference,1663,1627,1569,1448,121,0,2,30,97,1,23,89,0,1,7,0
peg_96,HDR,1663,1627,57,53,4,0,0,0,4,0,0,4,0,0,0,0
peg_97,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_97,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_98,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_98,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_99,Reference,7292,7257,7115,6655,460,0,7,87,370,7,83,366,0,0,4,0
peg_99,HDR,7292,7257,120,110,10,0,0,0,10,0,0,10,0,0,0,0
peg_100,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_100,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_101,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_101,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_102,Reference,1058,901,815,590,225,0,2,112,117,2,106,111,0,0,6,0
