Reads_in_input,Reads_aligned_all_amplicons,WT,correct_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,WT_perc,corr_perc,byprod_perc,INDEL_perc,corr_perc_backsub,byprod_perc_backsub,INDEL_perc_backsub,WT_perc_backsub
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3421,3188,2916,34,238,32,205,1,91.46800501882058,1.066499372647428,7.465495608531995,1.0037641154328734,0.8856675462459813,0.0,0.0,99.11433245375402
6472,6253,5544,55,654,132,490,32,88.66144250759635,0.8795778026547257,10.45897968974892,2.1109867263713418,0.801269267024342,0.0,0.0,99.19873073297566
4315,4301,3863,31,407,44,359,4,89.81632178563125,0.7207626133457335,9.462915601023019,1.0230179028132993,0.7207626133457335,0.0,0.0,99.27923738665427
10152,9971,8196,79,1696,567,1112,17,82.19837528833618,0.7922976632233477,17.00932704844048,5.686490823387825,0.7922976632233477,3.7725121570237263,2.48069971687283,95.43519017975292
4852,4846,4315,27,504,105,361,38,89.04250928600908,0.5571605447791993,10.40033016921172,2.1667354519191084,0.24120477858646627,3.2913254298752275,1.0608902702445429,96.4674697915383
9760,9735,8332,31,1372,247,1121,4,85.58808423215203,0.31843862352336927,14.093477144324602,2.53723677452491,0.20188850697325278,2.7881158389632965,0.6724349097230453,97.00999565406345
310,273,0,0,273,273,0,0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3752,3720,2873,13,834,392,435,7,77.23118279569893,0.34946236559139787,22.419354838709676,10.53763440860215,0.11051373954599766,11.547192353643965,7.4313022700119475,88.34229390681004
5225,5221,4344,40,837,82,751,4,83.20245163761732,0.7661367554108408,16.031411606971844,1.5705803485922236,0.6101305151612308,1.0548125430092856,0.7905491473441737,98.33505694182948
3598,3598,3185,29,384,20,354,10,88.52140077821012,0.8060033351862146,10.672595886603668,0.5558643690939411,0.8060033351862146,0.1914962302462797,0.0,99.00250043456751
